occupation,code,earningsa,earningsm,earningsf,earningsannm,earningsannf,jobsm,jobsf,hierarchy
Chief executives & senior officials,111,44.29,46.57,40.33,100016,77351,65,25,1
Production managers & directors,112,23.42,23.95,21.28,50000,40154,529,115,1
Functional managers & directors,113,31.68,34.64,27.37,70660,52063,462,293,1
Financial institution managers & directors,115,25.15,29.23,19.63,53909,38387,37,24,1
Managers & directors in transport & logistics,116,15.58,15.78,14.32,34125,29914,150,37,1
Senior officers in protective services,117,25.58,26.17,22.41,52842,45337,13,,1
Health & social services managers & directors,118,24.78,27.55,23.46,51116,43770,21,35,1
Managers & directors in retail & wholesale,119,13.61,14.81,12.12,32216,24659,176,125,1
Managers & proprietors in hospitality & leisure services,122,12.7,13.42,11.98,30653,25364,62,48,1
Managers & proprietors in health & care services,124,16.77,16.5,16.86,33983,33078,11,51,1
Managers & proprietors in other services,125,16.62,18.01,15.29,37030,28929,121,77,1
Natural & social science professionals,211,19.7,19.99,19.44,38597,36773,70,50,2
Engineering professionals,212,20.69,20.75,20.19,43049,38925,358,43,2
Information technology & telecommunications professionals,213,22.55,22.76,21.43,44963,40442,575,112,2
Conservation & environment professionals,214,18.23,18.7,16.91,35808,31397,28,12,2
Research & development managers ,215,25.72,25.88,24.13,49921,44089,36,19,2
Health professionals,221,23.38,25.6,21.86,57475,42715,182,180,2
Therapy professionals,222,17.04,16.63,17.24,31009,31911,22,58,2
Nursing & midwifery professionals,223,18.16,18.76,18,35598,32964,110,505,2
Teaching & educational professionals,231,22.72,23.92,22.01,41715,36480,431,673,2
Legal professionals,241,25.99,30.09,24.05,60072,46196,58,57,2
"Business, research & administrative professionals",242,22.28,23.42,20.45,45491,38492,432,233,2
"Architects, town planners & surveyors",243,20.15,20.51,18.67,40966,36194,137,34,2
Welfare professionals,244,18.03,16.62,18.37,31393,34106,50,88,2
Librarians & related professionals,245,14.55,15.23,14.06,27469,26178,,10,2
Quality & regulatory professionals,246,20.77,20.81,20.41,41244,38113,87,46,2
Media professionals,247,18.46,20.03,16.85,39790,32969,52,38,2
"Science, engineering & production technicians",311,13.76,14.39,11.96,30283,23142,281,87,3
Draughtspersons & related architectural technicians,312,14.82,15.09,14.5,30584,27755,37,11,3
Information technology technicians,313,15.56,15.76,14.95,31986,28900,184,60,3
Health associate professionals,321,15.47,18.92,13.62,36619,25449,29,39,3
Welfare & housing associate professionals,323,13.43,13.52,13.4,25958,25001,53,137,3
Protective service occupations,331,18.44,18.76,17.06,39750,35711,212,84,3
"Artistic, literary & media occupations",341,15.81,16.29,15.43,33965,28195,33,23,3
Design occupations,342,13.95,14.09,13.77,29318,27899,47,32,3
Sports & fitness occupations,344,11.98,12.08,11.02,24682,21529,25,8,3
Legal associate professionals,352,15.31,15.95,14.55,31020,28261,19,38,3
"Business, finance & related associate professionals",353,17.85,19.15,16.44,38121,31040,275,233,3
"Sales, marketing & related associate professionals",354,18.89,20.17,16.88,43020,33351,610,410,3
Conservation & environmental associate professionals,355,11.71,11.44,13.67,22446,24313,,,3
Public services & other associate professionals,356,15.7,15.9,15.5,32551,29804,180,197,3
Administrative occupations Government & related organisations,411,12.74,13.25,12.62,27587,25020,60,85,4
Administrative occupations Finance,412,12.45,12.88,12.29,25402,23664,128,246,4
Administrative occupations Records,413,11.5,11.73,11.25,24585,21481,123,147,4
Other administrative occupations,415,11.4,11.97,11.18,24229,21120,191,436,4
Administrative occupations Office managers & supervisors,416,15.57,16.33,15.28,33479,29680,66,125,4
Secretarial & related occupations,421,11.3,10.79,11.37,21794,21446,30,270,4
Agricultural & related trades,511,10.22,10.2,10.74,20561,20703,84,6,5
"Metal forming, welding & related trades",521,12.46,12.49,10.07,28227,19988,66,,5
"Metal machining, fitting & instrument making trades",522,14.08,14.1,11.87,32318,25808,368,12,5
Electrical & electronic trades,524,15.33,15.34,14.79,33680,26989,287,11,5
"Skilled metal, electrical & electronic trades supervisors",525,16.08,16.03,16.23,35196,,38,,5
Construction & building trades,531,13.1,13.1,11.75,27512,22727,208,,5
Building finishing trades,532,11.85,11.87,9.16,25869,18267,36,,5
Construction & building trades supervisors,533,16.17,16.25,14.98,38255,25162,36,,5
Textiles & garments trades,541,11,11.19,9.41,24468,18027,15,,5
Printing trades,542,11.53,11.94,10.08,24904,20877,26,,5
