xcategory,ycategory,amount
5 to 10 year olds,Married,6.2
5 to 10 year olds,Cohabiting,12.2
5 to 10 year olds,Lone parent - single,17
5 to 10 year olds,Lone parent - previously married,18.2
11 to 16 year olds,Married,11.6
11 to 16 year olds,Cohabiting,13.6
11 to 16 year olds,Lone parent - single,27.4
11 to 16 year olds,Lone parent - previously married,18.5
