AREACD,AREANM,Abigail,Aisha,Alice,Amber,Amelia,Amelie,Anna,Annabelle,Arabella,Aria,Aurora,Ava,Beatrice,Bella,Bonnie,Charlotte,Chloe,Clara,Daisy,Darcey,Darcie,Darcy,Edith,Eleanor,Eliza,Elizabeth,Ella,Ellie,Elsie,Emilia,Emily,Emma,Erin,Esme,Eva,Evelyn,Evie,Florence,Francesca,Freya,Georgia,Grace,Gracie,Hallie,Hannah,Harper,Harriet,Heidi,Holly,Imogen,Iris,Isabella,Isabelle,Isla,Ivy,Jasmine,Jessica,Julia,Layla,Leah,Lilly,Lily,Lola,Lottie,Lucy,Luna,Lyla,Maisie,Maria,Martha,Maryam,Matilda,Maya,Megan,Mia,Mila,Millie,Molly,Nancy,Olivia,Orla,Penelope,Phoebe,Poppy,Robyn,Rose,Rosie,Ruby,Sara,Scarlett,Sienna,Sofia,Sophia,Sophie,Summer,Thea,Victoria,Violet,Willow,Zara
E06000001,Hartlepool,..,..,1.1,..,1.5,..,..,..,..,0.8,..,2.8,..,..,..,1.1,..,..,1.9,..,0.6,..,..,..,..,..,0.8,..,0.8,0.8,1.9,0.6,..,0.6,..,..,..,..,..,1.9,..,0.6,..,0.8,..,1.1,..,..,..,..,..,1.1,..,1.7,0.8,..,0.8,..,..,..,0.6,1.1,..,0.6,..,..,0.6,..,..,..,..,..,..,..,1.1,..,0.8,0.6,..,2.1,..,..,..,1.1,..,..,0.8,..,..,1.1,1.3,..,..,0.8,..,0.6,..,0.6,1.1,..
E06000002,Middlesbrough,..,0.3,..,..,0.9,..,..,0.4,..,0.8,..,1.4,..,..,..,0.7,..,..,0.6,..,..,..,0.4,0.3,1,..,0.3,0.4,0.8,..,1.3,..,0.3,0.6,0.7,0.4,0.4,..,0.4,..,..,0.4,..,..,..,0.4,..,0.6,..,0.3,..,1,0.9,0.8,0.7,0.4,0.9,..,0.8,..,0.3,0.6,0.3,..,..,0.6,0.3,..,0.3,..,..,..,0.3,..,0.4,..,..,..,0.8,1.2,..,..,0.8,1,..,..,0.7,0.4,..,0.6,..,0.8,0.4,0.8,..,0.3,..,..,0.8,..
E06000003,Redcar and Cleveland,0.4,..,1.3,..,1.7,..,..,0.4,..,..,..,1,..,..,..,1.4,..,..,0.6,0.4,1,0.4,..,0.4,0.7,..,1.1,0.4,0.8,0.4,1.1,..,0.8,0.8,0.8,0.6,1,0.4,0.4,0.4,..,0.8,0.4,0.4,..,1.3,0.6,..,0.6,0.6,..,1.1,1,1.1,1.5,..,1,..,0.4,..,..,1.1,0.6,0.7,0.6,0.4,..,..,..,..,..,0.8,..,..,1,..,..,..,1,2.4,..,0.4,1.3,1.4,..,0.6,0.7,1.1,..,1.4,..,0.6,..,0.4,..,..,..,1.1,1.1,..
E06000004,Stockton-on-Tees,0.3,0.3,0.3,..,1.2,..,0.3,0.3,0.3,0.3,0.4,0.8,..,0.4,..,0.9,0.3,..,0.9,..,..,0.3,..,0.3,..,0.6,0.7,0.5,0.5,0.4,1.2,..,0.3,0.3,0.8,1,0.4,0.6,0.7,0.8,0.7,0.6,0.3,..,0.3,1.1,0.8,0.6,0.5,0.5,0.6,0.7,1,1.4,1.3,0.4,0.6,..,0.7,..,0.5,1.2,0.7,0.5,0.4,..,..,0.4,..,0.3,..,0.4,..,0.3,0.5,..,0.3,..,1.2,1.7,..,0.5,0.9,0.7,0.3,..,0.7,0.5,..,0.7,0.5,0.5,0.6,1.1,..,0.7,..,0.4,0.6,..
E06000005,Darlington,..,..,1.6,..,2.3,..,0.5,..,..,..,..,3,..,..,..,1.8,0.7,..,1.1,..,..,..,..,..,0.5,..,0.9,0.5,0.9,..,1.8,..,..,..,0.7,1.1,0.9,..,..,1.1,..,0.7,..,..,0.7,..,..,0.5,0.7,0.7,..,1.4,..,0.9,0.7,0.7,..,..,..,..,..,0.7,..,..,..,..,..,..,..,0.9,..,..,0.5,..,0.9,0.5,..,..,0.7,2.3,0.5,0.5,1.1,..,..,0.9,..,0.5,..,0.7,..,..,0.9,0.9,..,0.5,..,0.7,1.1,..
E06000006,Halton,..,..,0.8,0.6,1.9,..,..,..,..,..,0.4,1.7,..,0.4,..,1.2,..,..,1.4,..,0.8,..,..,..,0.6,..,1.4,..,..,0.4,1.8,..,..,0.7,0.8,..,0.8,0.8,..,0.6,..,1.8,..,0.6,..,1,..,1.1,0.7,0.8,..,1.2,0.6,2.2,0.4,..,0.4,..,0.4,..,1,1.1,0.4,0.4,..,..,..,..,..,..,..,0.6,..,..,1,0.6,0.8,0.4,0.6,1.2,0.4,1.1,0.8,0.6,0.6,0.6,0.6,1,..,..,0.8,0.8,1.2,1.1,..,..,..,..,0.6,..
E06000007,Warrington,0.3,..,1.8,..,1.5,..,..,0.5,..,0.7,..,1.4,..,0.6,..,1.4,0.5,..,0.9,0.4,0.4,0.4,..,0.6,0.6,0.3,0.7,0.4,0.5,..,1.6,0.3,0.5,0.5,0.8,0.8,0.7,0.9,0.4,0.6,0.6,0.9,..,0.3,0.4,0.6,0.7,0.9,0.8,0.6,..,1,0.9,0.9,0.3,0.5,1.8,..,0.5,..,0.4,1.4,0.8,0.5,0.4,0.4,0.3,0.3,..,0.5,..,1,0.3,0.5,1,..,0.5,..,0.3,2,0.3,0.4,0.9,0.7,..,0.3,0.7,0.5,..,1.1,0.5,0.3,1,0.9,0.3,0.6,..,0.4,0.3,..
E06000008,Blackburn with Darwen,..,0.7,0.6,..,0.7,..,0.3,..,..,0.4,..,0.6,..,..,..,0.4,..,..,0.3,..,..,..,..,..,0.3,0.3,..,..,0.5,..,0.6,..,..,0.3,0.7,0.3,0.7,..,..,0.5,..,0.3,..,0.3,0.3,0.4,..,..,..,..,..,0.9,0.3,0.4,..,..,0.5,..,..,..,0.4,0.8,0.3,0.3,0.3,..,..,0.3,..,0.6,1.1,0.3,0.5,..,0.5,0.3,0.6,..,0.3,0.7,..,0.7,0.3,0.4,..,..,..,0.4,..,0.6,0.4,..,..,0.5,..,0.3,..,0.3,0.5,0.3
E06000009,Blackpool,..,..,0.6,0.5,2.1,..,..,..,..,0.5,0.4,1.4,..,..,0.4,1.1,0.6,..,0.6,..,0.4,0.4,..,..,0.6,0.4,0.6,..,0.4,0.4,1.1,..,0.5,..,0.5,0.6,0.6,0.4,..,..,0.4,0.5,..,0.7,..,0.5,0.4,..,0.4,0.4,..,0.9,0.7,1,0.4,..,0.7,..,0.4,..,0.7,0.6,0.4,0.4,..,0.7,..,..,..,..,..,0.5,0.4,..,0.7,0.5,1,0.6,0.4,1.2,..,0.6,0.4,0.4,..,..,0.4,0.9,..,1.2,0.7,0.5,0.7,0.5,..,0.4,..,..,0.6,0.4
E06000010,"Kingston upon Hull, City of",0.4,..,0.8,0.2,1.7,..,0.2,..,..,..,..,1.4,..,0.5,..,0.9,0.3,..,1.3,0.2,0.4,..,..,0.2,0.6,0.2,0.8,0.5,0.6,0.2,1.2,0.2,0.2,0.2,0.8,0.6,1,0.5,..,0.5,0.5,0.7,0.5,0.2,0.2,0.7,0.2,..,0.3,0.4,0.2,0.2,0.9,1,0.3,0.4,0.5,0.5,1,..,0.6,1,0.5,0.6,0.3,0.4,..,0.4,0.2,..,..,0.6,0.5,..,0.5,0.3,0.5,0.4,0.2,1.8,..,..,0.9,1,0.2,0.2,0.3,0.4,..,0.8,0.4,0.4,0.4,0.3,0.2,0.2,0.4,0.5,1,0.2
