date,series1,series1a,series1b,series1c,series2,series2a,series2b,series2c,series3,series3a,series3b,series3c,adjusted1,adjusted2
Jun-09,292,,,,118,,,,174,,,,,
Dec-09,303,,,,119,,,,184,,,,,
Mar-10,318,,,,119,,,,199,,,,,
Jun-10,311,,,,115,,,,196,,,,,
Sep-10,326,,,,108,,,,218,,,,,
Dec-10,322,,,,104,,,,217,,,,,
Mar-11,317,,,,102,,,,215,,,,,
Jun-11,327,,,,104,,,,222,,,,,
Sep-11,334,,,,106,,,,228,,,,,
Dec-11,314,,,,110,,,,204,,,,,
Mar-12,296,,,,112,,,,185,,,,,
Jun-12,282,,,,110,,,,172,,,,,
Sep-12,269,,,,108,,,,160,,,,,
Dec-12,260,,,,103,,,,157,,,,134,126
Mar-13,246,,,,102,,,,145,,,,133,113
Jun-13,242,,,,103,,,,139,,,,134,108
Sep-13,242,,,,104,,,,138,,,,135,107
Dec-13,248,,,,105,,,,142,,,,129,119
Mar-14,260,,,,104,,,,156,,,,128,132
Jun-14,268,,,,105,,,,164,,,,129,139
Sep-14,289,,,,101,,,,188,,,,125,164
Dec-14,287,,,,93,,,,194,,,,121,166
Mar-15,290,,,,90,,,,200,,,,118,172
Jun-15,288,,,,86,,,,202,,,,114,174
Sep-15,275,,,,84,,,,192,,,,112,163
Dec-15,279,,,,90,,,,189,,,,115,164
Mar-16,288,,,,95,,,,193,,,,120,168
Jun-16,291,,,,95,,,,196,,,,120,171
Sep-16,292,,,,95,,,,197,,,,120,172
Dec-16,298,,,,90,,,,208,,,,110,188
Mar-17,299,,,,87,,,,212,,,,107,192
Jun-17,294,,,,90,,,,204,,,,110,184
Sep-17,314,,,,91,,,,222,,,,111,203
Dec-17,321,,,,87,,,,234,,,,113,208
Mar-18,321,,,,84,,,,237,,,,110,211
Jun-18,328,,,,78,,,,250,,,,104,224
Sep-18,342,,,,80,,,,262,,,,106,236
Dec-18,325,,,,92,,,,232,,,,111,214
Mar-19,333,,,,94,,,,238,,,,113,219
