,,Total job vacancies (thousands)
Jan-08,Nov-Jan 2008,686
Feb-08,Dec-Feb 2008,691
Mar-08,Jan-Mar 2008,702
Apr-08,Feb-Apr 2008,693
May-08,Mar-May 2008,678
Jun-08,Apr-Jun2008,656
Jul-08,May-Jul 2008,642
Aug-08,Jun-Aug 2008,625
Sep-08,Jul-Sep 2008,616
Oct-08,Aug-Oct 2008,598
Nov-08,Sep-Nov 2008,564
Dec-08,Oct-Dec 2008,525
Jan-09,Nov-Jan 2009,492
Feb-09,Dec-Feb 2009,468
Mar-09,Jan-Mar 2009,459
Apr-09,Feb-Apr 2009,453
May-09,Mar-May 2009,444
Jun-09,Apr-Jun 2009,432
Jul-09,May-Jul 2009,433
Aug-09,Jun-Aug 2009,442
Sep-09,Jul-Sep 2009,441
Oct-09,Aug-Oct 2009,441
Nov-09,Sep-Nov 2009,443
Dec-09,Oct-Dec 2009,453
Jan-10,Nov-Jan 2010,457
Feb-10,Dec-Feb 2010,459
Mar-10,Jan-Mar 2010,460
Apr-10,Feb-Apr 2010,466
May-10,Mar-May 2010,479
Jun-10,Apr-Jun 2010,484
Jul-10,May-Jul 2010,482
Aug-10,Jun-Aug 2010,463
Sep-10,Jul-Sep 2010,459
Oct-10,Aug-Oct 2010,462
Nov-10,Sep-Nov 2010,477
Dec-10,Oct-Dec 2010,482
Jan-11,Nov-Jan 2011,489
Feb-11,Dec-Feb 2011,484
Mar-11,Jan-Mar 2011,479
Apr-11,Feb-Apr 2011,471
May-11,Mar-May 2011,461
Jun-11,Apr-Jun 2011,461
Jul-11,May-Jul 2011,460
Aug-11,Jun-Aug 2011,464
Sep-11,Jul-Sep 2011,467
Oct-11,Aug-Oct 2011,472
Nov-11,Sep-Nov 2011,466
Dec-11,Oct-Dec 2011,465
Jan-12,Nov-Jan 2012,469
Feb-12,Dec-Feb 2012,467
Mar-12,Jan-Mar 2012,464
Apr-12,Feb-Apr 2012,464
May-12,Mar-May 2012,470
Jun-12,Apr-Jun 2012,475
Jul-12,May-Jul 2012,481
Aug-12,Jun-Aug 2012,484
Sep-12,Jul-Sep 2012,490
Oct-12,Aug-Oct 2012,494
Nov-12,Sep-Nov 2012,497
Dec-12,Oct-Dec 2012,501
Jan-13,Nov-Jan 2013,497
Feb-13,Dec-Feb 2013,500
Mar-13,Jan-Mar 2013,504
Apr-13,Feb-Apr 2013,514
May-13,Mar-May 2013,522
Jun-13,Apr-Jun 2013,534
Jul-13,May-Jul 2013,539
Aug-13,Jun-Aug 2013,536
Sep-13,Jul-Sep 2013,549
Oct-13,Aug-Oct 2013,554
Nov-13,Sep-Nov 2013,570
Dec-13,Oct-Dec 2013,573
Jan-14,Nov-Jan 2014,582
Feb-14,Dec-Feb 2014,595
Mar-14,Jan-Mar 2014,617
Apr-14,Feb-Apr 2014,639
May-14,Mar-May 2014,652
Jun-14,Apr-Jun 2014,660
Jul-14,May-Jul 2014,666
Aug-14,Jun-Aug 2014,679
Sep-14,Jul-Sep 2014,684
Oct-14,Aug-Oct 2014,698
Nov-14,Sep-Nov 2014,702
Dec-14,Oct-Dec 2014,708
Jan-15,Nov-Jan 2015,718
Feb-15,Dec-Feb 2015,726
Mar-15,Jan-Mar 2015,735
Apr-15,Feb-Apr 2015,727
May-15,Mar-May 2015,726
Jun-15,Apr-Jun 2015,728
Jul-15,May-Jul 2015,738
Aug-15,Jun-Aug 2015,740
Sep-15,Jul-Sep 2015,739
Oct-15,Aug-Oct 2015,737
Nov-15,Sep-Nov 2015,740
Dec-15,Oct-Dec 2015,746
Jan-16,Nov-Jan 2016,759
Feb-16,Dec-Feb 2016,750
Mar-16,Jan-Mar 2016,751
Apr-16,Feb-Apr 2016,742
May-16,Mar-May 2016,744
Jun-16,Apr-Jun 2016,744
Jul-16,May-Jul 2016,743
Aug-16,Jun-Aug 2016,749
Sep-16,Jul-Sep 2016,750
Oct-16,Aug-Oct 2016,759
Nov-16,Sep-Nov 2016,753
Dec-16,Oct-Dec 2016,752
Jan-17,Nov-Jan 2017,753
Feb-17,Dec-Feb 2017,762
Mar-17,Jan-Mar 2017,771
Apr-17,Feb-Apr 2017,789
May-17,Mar-May 2017,785
Jun-17,Apr-Jun 2017,785
Jul-17,May-Jul 2017,778
Aug-17,Jun-Aug 2017,789
Sep-17,Jul-Sep 2016,797
Oct-17,Aug-Oct 2016,801
Nov-17,Sep-Nov 2016,809
Dec-17,Oct-Dec 2017,815
Jan-18,Nov-Jan 2018,822
Feb-18,Dec-Feb 2018,816
Mar-18,Jan-Mar 2018,817
Apr-18,Feb-Apr 2018,809
May-18,Mar-May 2018,819
Jun-18,Apr-Jun 2018,829
Jul-18,May-Jul 2018,832
Aug-18,Jun-Aug 2018,839
Sep-18,Jul-Sep 2018,843
Oct-18,Aug-Oct 2018,849
Nov-18,Sep-Nov 2018,848
,,
,Max since 2008,849
,Min since 2008,432
