date,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers;undifferentiated goods-and services-producing activities of households for own use
1996,93279,5163,1234957,27513,40016,250671,2306282,163847,1112689,263553,602970,142907,699113,962574,727715,1470645,2446088,329855,434931,61224
1997,100407,7087,1232626,25867,40788,225021,2338694,168438,1160152,277001,597659,144727,720263,1029644,713246,1471211,2455348,335581,440205,55613
1998,113833,8528,1217188,28275,40239,257388,2408400,242663,1067116,346683,583146,144609,731471,1006372,708744,1510927,2390886,329405,431956,55079
1999,99878,9407,1137983,30522,41005,247077,2407308,289549,1040573,378757,573581,144474,740711,985101,720619,1471179,2414972,334518,420043,50120
2000,95503,11053,1089790,27420,38526,254139,2389740,303688,1077265,416098,585307,153173,792763,979525,732121,1594885,2408623,357907,453637,49067
2001,85217,10872,1041894,31147,47262,266747,2493715,298550,1047395,445855,621499,167440,802350,1021889,725663,1584365,2466430,355856,448883,37624
2002,90415,11720,970431,31743,52204,255187,2503020,304270,1063721,451595,623435,164097,803286,1045353,753200,1600504,2566127,372040,459376,87116
2003,74942,7808,883484,31395,37477,254289,2432018,340054,1102484,420794,608464,166741,843234,1008667,781010,1687022,2618960,390381,478752,106582
2004,81083,7780,831752,31293,35320,275595,2460132,346141,1130233,394406,629454,180052,870880,1014780,827888,1749384,2686810,402506,488712,109321
2005,94854,8389,793656,22181,31680,288036,2472288,316136,1150224,380968,614273,185595,917659,1054492,851330,1811574,2762083,398605,483315,92964
2006,93789,9318,731767,24692,31490,294324,2458976,310045,1115226,407159,587438,196787,977848,1090166,851751,1874032,2834711,421619,494654,80854
2007,99305,7965,735821,24762,26784,287236,2407070,312430,1096503,421700,614043,219761,1012041,1130256,857171,1860563,2870105,428667,483619,81005
2008,111433,9337,700553,22764,26678,294465,2387299,303211,1096739,397051,618082,243076,1041895,1171052,843538,1839013,2890484,432178,488636,108925
2009,84788,8150,630099,28307,43934,269352,2341440,308037,1068522,389924,605357,260296,1053065,1064384,879807,1883387,2933354,419786,495674,50960
2010,107039,8062,609880,33315,42850,237139,2305176,295410,991988,373384,541588,251770,1089899,1074135,890576,1904007,3080104,429309,498628,48756
2011,88950,8551,593244,34467,44052,258537,2296477,300533,1018676,382393,544948,243432,1062811,1052081,854262,1917680,3153179,435889,490505,51268
2012,121101,9815,614867,33760,43836,267556,2326570,314683,1042809,405918,559484,253463,1125243,1126607,801817,1960520,3158144,448031,499480,50043
2013,96717,10914,602229,33487,48188,269109,2290588,319375,1008957,405247,553656,264916,1127394,1142275,799890,1944310,3243919,426672,523892,57283
2014,120771,10268,612452,31406,45034,282629,2321957,315489,1116197,415000,540853,291059,1204523,1151342,794318,2004164,3299268,464374,573345,62609
2015,89785,11436,631824,35576,49562,290834,2378692,331296,1143522,444702,527273,299679,1296333,1212419,775223,2039637,3314235,469688,563515,50386
2016,114788,9663,633401,39500,54526,309516,2410908,358705,1197862,453243,532981,295212,1360086,1271452,766040,2042382,3375189,457983,574978,48315
2017,107814,8919,648198,40012,56342,332868,2374324,373063,1245105,483244,536500,308673,1360886,1302499,756074,2046908,3385187,487289,592199,46032
2018,106674,9759,652393,39279,58928,332990,2359136,390871,1244645,492538,539511,318396,1396980,1287336,766600,2079336,3463031,481036,586709,42834
2019,94376,8865,669210,38381,57138,350993,2328763,400599,1302008,509603,526644,297670,1450014,1294162,783280,2093935,3523853,517013,590240,43150
