AREACD,AREANM,All_2012,All_2013,All_2014,All_2015,All_2016,All_2017,All_2018,Male_2012,Male_2013,Male_2014,Male_2015,Male_2016,Male_2017,Male_2018,Female_2012,Female_2013,Female_2014,Female_2015,Female_2016,Female_2017,Female_2018
E06000001,Hartlepool,28.1377,23.9873,23.5969,22.7626,19.6187,19.1947,18.64106754,28.7567,24.9551,25.109,24.3469,20.8929,20.148,19.0478907,27.5667,23.1106,22.2334,21.2808,18.4008,18.2674,18.26945624
E06000002,Middlesbrough,24.8823,23.1232,21.2057,20.7501,17.0558,18.645,17.44245972,25.2898,23.7409,21.7257,23.2219,19.3052,19.7988,19.38255888,24.5068,22.5452,20.7159,18.4716,14.9344,17.5787,15.5871331
E06000003,Redcar and Cleveland,21.5047,21.809,18.7432,17.2878,16.2528,15.0208,13.54203008,21.1835,21.7053,19.8429,16.7272,16.6398,14.5444,15.2631889,21.7958,21.9059,17.7197,17.8089,15.8846,15.4646,11.95167084
E06000004,Stockton-on-Tees,20.2517,19.4112,19.6049,18.3662,12.3838,15.0018,16.43508331,22.7684,21.5336,20.8951,20.9273,13.0075,15.2141,17.57945233,17.8494,17.3433,18.3881,15.9596,11.805,14.8042,15.33863179
E06000005,Darlington,19.4497,19.2371,19.163,17.8661,17.2987,14.4465,13.81826088,18.4315,20.365,21.213,19.601,16.4904,15.2507,13.9302602,20.3855,18.2382,17.3335,16.2522,18.0549,13.694,13.71583183
E06000047,County Durham,22.2423,22.0902,20.324,18.9571,17.8768,14.2547,14.98693164,21.6413,20.8058,19.6675,20.0407,18.3901,13.2263,14.21177374,22.8099,23.3285,20.9457,17.941,17.3923,15.2176,15.74543019
E06000057,Northumberland,18.0816,17.6098,16.5836,16.5619,16.8593,12.9693,12.07271487,19.4555,19.429,17.9061,18.7341,17.5183,13.3888,12.47641739,16.8133,15.9354,15.3876,14.532,16.2353,12.5945,11.71551724
E08000021,Newcastle upon Tyne,23.6888,24.903,19.7866,18.6164,17.5951,15.2019,15.97989769,25.3943,27.9818,21.0709,20.476,18.7396,17.6087,16.30136865,22.0021,21.8397,18.5375,16.7489,16.4336,12.7852,15.65018832
E08000022,North Tyneside,22.5907,19.2983,19.2774,17.9899,16.4423,16.5315,14.89720321,21.8348,19.4816,19.5194,17.6536,16.6683,16.5317,17.15018562,23.2997,19.1261,19.0534,18.297,16.2368,16.5312,12.86099486
E08000023,South Tyneside,21.8153,21.0782,19.4708,17.4266,18.5145,18.3628,18.78570931,22.7269,23.6829,21.4971,19.5469,19.7292,19.4122,19.75494919,20.9613,18.6167,17.5263,15.4176,17.3951,17.376,17.89422643
E08000024,Sunderland,23.7731,21.2375,22.0673,21.4677,18.0049,22.7455,20.18059829,25.9005,23.9207,23.5728,22.0472,18.126,25.0772,21.94056896,21.7919,18.7793,20.689,20.9111,17.8939,20.4953,18.55456957
E08000037,Gateshead,20.6761,21.4303,19.8754,18.3273,17.9046,16.5012,17.7980218,22.7554,24.0307,21.9792,20.9964,18.2453,18.8694,19.15382696,18.8312,19.0255,17.913,15.7857,17.5629,14.217,16.48742334
E06000006,Halton,21.3063,19.3572,16.3934,20.0386,16.5563,14.9663,17.93764797,21.4024,19.6507,16.7767,21.0582,17.3422,15.7646,19.96307692,21.2159,19.0778,16.0332,19.0564,15.8029,14.2349,16.03059333
E06000007,Warrington,18.4348,16.3989,14.534,14.8049,12.6265,12.5264,10.47096222,19.8526,19.3187,14.2237,16.3361,13.8533,14.5275,10.87061148,17.1128,13.4563,14.8363,13.3245,11.5209,10.6578,10.0821803
E06000008,Blackburn with Darwen,24.3487,22.0124,23.681,21.2842,19.5229,16.7455,16.19827798,29.1215,26.4007,29.3783,24.9335,22.8655,20.771,19.04961769,19.8503,17.6434,18.202,17.6033,16.2222,12.9167,13.36703631
E06000009,Blackpool,27.7083,26.9911,26.8482,25.2675,22.512,22.3222,21.14456844,31.3486,29.1658,29.232,25.332,23.6327,23.2909,21.37833249,24.3104,24.9538,24.6577,25.2068,21.4348,21.372,20.92184084
E06000049,Cheshire East,15.8987,16.0625,11.4898,12.4522,13.2581,16.3966,8.702421714,17.6326,18.949,12.9999,13.4877,13.9457,17.0186,9.72637319,14.2457,13.3789,10.0299,11.4806,12.6075,15.7927,7.773534648
E06000050,Cheshire West and Chester,14.7251,17.3829,19.3632,13.1216,11.7099,12.6692,13.7836367,16.9336,20.163,18.4536,14.1182,10.787,14.1057,13.60628033,12.7065,14.8502,20.186,12.1663,12.5973,11.3455,13.95256635
E07000026,Allerdale,21.7458,16.8354,17.8516,17.1815,17.7439,13.6321,13.05783103,21.528,19.7701,18.1069,17.7965,17.1461,18.1625,12.42819548,21.944,13.8476,17.5912,16.5929,18.4,9.5679,13.63921405
E07000027,Barrow-in-Furness,24.2173,24.1233,24.0454,20.1251,16.181,18.1137,19.3318953,27.3347,23.6928,29.4272,26.1215,13.4754,17.8182,21.98658911,21.0452,24.5107,19.1411,14.7598,18.5834,18.4114,16.87076358
E07000028,Carlisle,23.0456,18.7923,20.8581,13.8825,14.1605,16.0544,14.67393301,24.5584,21.1218,24.2617,16.0831,17.6571,19.5756,17.44538152,21.6399,16.6293,17.7073,11.7911,10.8493,12.8723,12.01793937
E07000029,Copeland,25.8819,19.6671,26.1938,19.5552,16.1314,17.2351,16.94239467,29.1609,14.1686,19.1712,19.4313,14.5965,15.104,23.46142733,22.5823,25.1101,32.7945,19.69,17.6144,19.2281,10.91082681
E07000030,Eden,12.7445,12.5337,11.6007,14.6585,18.6356,13.1206,8.727110945,12.3212,11.5279,9.0146,16.745,21.1198,15.8282,8.643457383,13.1186,13.5348,14.3562,12.4656,16.0019,10.3063,8.806727298
E07000031,South Lakeland,13.088,12.1587,11.4779,10.518,12.5331,9.4458,10.06186385,9.388,13.8959,15.3461,9.8027,10.6874,11.0778,11.84892679,16.7658,10.4351,7.7534,11.1793,14.1809,7.7777,8.188812432
E07000117,Burnley,23.9812,17.7346,27.7309,21.6346,23.9649,10.2659,24.84226134,30.1022,14.6523,30.9812,20.3782,22.3859,13.0196,33.65423455,18.272,19.9312,24.8974,22.8462,25.515,7.6979,17.07136072
E07000118,Chorley,13.5133,17.1992,16.6732,19.1345,13.1823,13.7062,8.022490074,14.4711,20.3819,18.7982,18.8151,14.9844,18.2915,7.567567568,12.5442,14.1325,14.8739,19.4015,11.7336,9.2413,8.496335485
E07000119,Fylde,14.4225,16.1227,17.5909,16.6233,18.1612,11.746,12.6881285,20.9889,9.8143,19.2128,22.8736,21.9594,13.0555,16.92966318,7.8896,21.9686,15.9789,10.1871,14.0178,10.4678,8.821442395
E07000120,Hyndburn,27.849,26.3302,22.6943,17.7346,21.8732,19.3696,14.70136719,28.8121,31.2765,22.1823,19.812,22.4541,25.1536,20.10402533,26.9092,21.7532,23.1692,15.7536,21.3186,13.8534,9.730554496
E07000121,Lancaster,23.1364,20.2388,19.3821,19.4471,14.725,19.3469,14.85470628,23.9202,22.3969,20.5581,21.208,12.4599,21.629,16.33441021,22.4842,18.2652,18.1951,17.5965,16.7717,16.9924,13.44087033
E07000122,Pendle,25.4863,19.2313,20.4944,20.7857,11.9461,20.2461,13.89437758,32.1264,22.7874,27.6819,24.9467,14.2922,16.3463,13.68337076,20.0031,16.1582,14.3107,16.4373,9.6436,23.8404,14.11104369
E07000123,Preston,18.2539,25.9685,26.6544,19.1658,17.9837,20.168,17.26713577,23.4638,31.2356,32.2585,21.0413,18.6318,21.2404,20.07759654,13.6212,20.7243,20.6364,17.3221,17.2808,19.0057,14.50608661
E07000124,Ribble Valley,15.202,17.8334,11.8808,10.8127,7.3026,6.9965,8.315330012,14.2614,18.3322,10.5176,9.6921,8.8682,10.1887,10.90776322,16.166,17.3874,13.1757,11.8018,6.0421,3.7461,5.893138885
E07000125,Rossendale,20.2726,17.8663,23.9589,21.7912,25.4314,14.8814,18.68263953,23.5113,13.8676,21.8284,20.0206,33.124,20.6892,22.37055817,17.1866,22.4113,26.0104,23.4088,18.5555,9.3625,14.90982776
E07000126,South Ribble,18.2685,19.765,15.2914,16.1464,7.7332,10.5736,10.31432385,20.3584,18.338,15.548,16.8386,11.4003,12.394,11.77132815,16.2769,21.0637,15.0335,15.5027,4.0122,8.9572,8.987724693
E07000127,West Lancashire,19.6599,19.4132,13.1275,19.1317,16.4677,13.6616,14.14884411,20.2349,18.0301,15.1591,24.0742,17.4741,13.8452,15.89544331,19.0639,20.592,11.2994,15.1969,15.5778,13.4874,12.47091332
E07000128,Wyre,20.271,13.1209,15.4948,14.2063,16.1748,11.1808,13.10324585,17.7344,13.5253,21.3155,16.6091,12.7049,15.2925,15.05974454,22.6334,12.7225,10.2595,11.8624,19.3467,7.6149,11.33367494
E08000001,Bolton,22.8378,22.7408,21.5644,18.4441,17.8978,16.1414,15.27092652,24.4346,24.1927,23.6389,20.3714,19.3462,17.0694,18.69473233,21.3118,21.3172,19.4831,16.5354,16.4729,15.2539,11.96520855
E08000002,Bury,20.7686,18.595,19.0378,19.4629,19.0681,16.251,15.97851059,21.0837,21.3803,21.2262,21.5628,20.711,18.8646,18.17814058,20.4831,15.8342,17.0559,17.5105,17.5337,13.7703,13.87128028
E08000003,Manchester,24.3749,23.8249,25.4653,22.718,21.6667,22.0035,17.15604341,25.6472,25.6921,28.2689,27.4452,23.8497,22.3619,20.3129912,23.0853,21.9395,22.6222,18.0017,19.4451,21.6303,13.89798546
E08000004,Oldham,24.1703,20.9947,19.3211,22.264,18.7871,16.5533,18.02969541,26.7815,23.4907,24.1555,26.7908,22.5022,18.8533,19.97216593,21.7562,18.6312,14.8184,18.1022,15.3865,14.4365,16.172041
E08000005,Rochdale,24.4224,21.6021,22.5167,21.9716,19.3727,17.751,16.2110238,25.2232,22.236,23.3399,24.3336,23.4882,20.1496,16.889603,23.6848,21.0082,21.7388,19.7294,15.4475,15.4232,15.5889429
