occupation,code,earningsa,earningsm,earningsf,earningsannm,earningsannf,jobsm,jobsf,hierarchy
"Actors, entertainers & presenters",3413,11.88,15.43,7.69,,,,,3
Administrative occupations Finance,412,11.09,10.41,11.15,8886,11781,19,151,4
Administrative occupations Government & related organisations,411,11.43,11.56,11.35,13802,13350,6,37,4
Administrative occupations Office managers & supervisors,416,12.1,11.78,12.1,,12674,5,36,4
Administrative occupations Records,413,10.26,9.74,10.35,12076,11901,15,70,4
Agricultural & related trades,511,9.2,9.2,9,,,10,,5
Ambulance staff (excluding paramedics),6142,10.65,10.01,10.73,,,,,6
Animal care & control services,613,9,9.03,9,,,,13,6
Animal care services occupations n.e.c.,6139,8.65,8.86,8.52,,,,9,6
"Architects, town planners & surveyors",243,17.74,17.51,19.23,,,7,,2
"Artistic, literary & media occupations",341,16.28,16.97,15.17,,,7,9,3
Assemblers & routine operatives,813,9.36,10.18,9.18,,10722,9,15,8
Assemblers & routine operatives n.e.c.,8139,9.53,8.65,9.75,,,,5,8
Bakers & flour confectioners,5432,8.9,10.06,8.51,12130,,,,5
Bank & post office clerks,4123,11.09,9.72,11.16,,11641,,22,4
Bar staff,9274,8.21,8.21,8.21,5310,,45,78,9
Beauticians & related occupations,6222,8.98,8.3,9.02,6521,9561,,22,6
"Book-keepers, payroll managers & wages clerks",4122,11.67,12.35,11.5,8672,11640,9,85,4
Bus & coach drivers,8213,10,10,9.47,10576,,16,,8
Business & financial project management professionals,2424,21.5,20.14,22.01,,24691,,12,2
Business & related research professionals,2426,16.64,16.09,16.64,,17270,,11,2
Business sales executives,3542,9.21,9.16,9.21,,8545,8,18,3
"Business, finance & related associate professionals",353,13.91,15.45,13.77,,16081,11,62,3
"Business, research & administrative professionals",242,19.17,19.17,19.17,,22627,25,49,2
"Business, research & administrative professionals n.e.c.",2429,20.72,18.91,20.82,,,,,2
Call & contact centre occupations,7211,9.15,8.45,9.4,,11303,,9,7
Care escorts,6147,9.38,9.29,9.37,,7688,,8,6
Care workers & home carers,6145,9.51,9.71,9.5,11057,10520,45,319,6
Careers advisers & vocational guidance specialists,3564,11.75,13.87,11.58,0,,,,3
Caretakers,6232,9.45,9.55,9.09,9740,7541,19,7,6
Caring personal services,614,9.94,9.83,9.95,10666,10946,72,524,6
Catering & bar managers,5436,9.71,9.76,9.69,12853,9332,,9,5
Chartered & certified accountants,2421,19.84,19.25,20.01,,20996,,9,2
Chefs,5434,8.36,8.21,8.8,9772,10611,41,18,5
Child & early years officers,3233,10.86,12.18,10.55,,13488,,11,3
Childcare & related personal services,612,9.6,9.8,9.58,9751,9849,30,418,6
Cleaners & domestics,9233,8.55,8.5,8.57,6821,6740,81,370,9
Cleaning & housekeeping managers & supervisors,624,9.18,9.68,9.11,,,,17,6
Clergy,2444,17.41,17.94,15.97,,,10,,2
Communication operators,7214,11.29,10.76,11.36,,12097,,,7
Conference & exhibition managers & organisers,3546,9.28,9.26,9.3,,,,11,3
Construction & building trades supervisors,533,11.04,12.29,9.51,,0,,,5
Construction operatives,814,9.64,10,8.95,10547,,16,,8
Construction operatives n.e.c.,8149,9.5,9.78,8.84,9748,,13,,8
Cooks,5435,8.69,8.21,8.89,8613,10694,8,29,5
Counsellors,3235,15.43,14.42,15.27,,,,8,3
Credit controllers,4121,10.35,10.23,10.36,0,12449,,6,4
Customer service managers & supervisors,722,9.42,8.53,9.51,,,,9,7
Customer service occupations,721,8.93,8.64,9.07,10459,10392,49,134,7
Customer service occupations n.e.c.,7219,8.8,8.56,8.94,10261,10280,43,115,7
"Debt, rent & other cash collectors",7122,9.67,8.67,10.26,10224,11026,,,7
Design occupations,342,13.21,14.44,12.8,,12388,,7,3
Educational support assistants,6126,9.89,9.47,9.96,10300,10504,9,98,6
Electrical & electronic trades,524,12.02,12.2,11.06,13743,,11,,5
Elementary administration occupations,921,11.4,12.3,10,,10656,24,26,9
Elementary administration occupations n.e.c.,9219,8.35,8.19,8.43,,7526,,10,9
Elementary agricultural occupations,911,8.79,8.5,9,,,10,6,9
Elementary cleaning occupations,923,8.53,8.5,8.57,6929,6786,90,378,9
Elementary cleaning occupations n.e.c.,9239,9.06,9.34,8.95,,12809,,,9
Elementary construction occupations,912,8.23,8.21,8.6,9968,,7,,9
Elementary process plant occupations,913,8.25,8.21,8.3,10488,9691,15,17,9
Elementary process plant occupations n.e.c.,9139,8.23,8.21,8.44,,,7,,9
Elementary sales occupations,925,8.87,9.1,8.75,10344,9982,14,17,9
Elementary sales occupations n.e.c.,9259,9.43,9.6,8.93,,10584,,,9
Elementary security occupations,924,9.23,9.2,9.23,6007,2922,32,100,9
Elementary security occupations n.e.c.,9249,10,10,9.07,,,7,,9
Elementary storage occupations,926,8.69,8.74,8.64,12252,11013,53,33,9
Estate agents & auctioneers,3544,11.29,14.4,11.14,,,,8,3
"Estimators, valuers & assessors",3531,13.84,18.75,13.79,,,,,3
Farm workers,9111,8.7,8.37,8.94,,7355,6,4,9
Financial & accounting technicians,3537,15.29,14.76,15.32,20973,,,6,3
Financial administrative occupations n.e.c.,4129,10.11,9.39,10.26,,11413,6,32,4
Financial managers & directors,1131,18.39,20,17.94,,17220,12,31,1
Fishing & other elementary agriculture occupations n.e.c.,9119,9,9,8.98,,,,,9
Fitness instructors,3443,10.49,9.82,11.1,,,10,15,3
Food preparation & hospitality trades,543,8.64,8.28,8.98,9772,10585,57,59,5
"Food, drink & tobacco process operatives",8111,8.51,8.72,8.45,,9789,8,9,8
Functional managers & directors,113,19.17,20.03,18.84,,20339,30,68,1
Further education teaching professionals,2312,21.18,21.97,20.61,,,20,25,2
Graphic designers,3421,13.08,13.35,12.94,,,,,3
Hairdressers & barbers,6221,8.21,8.21,8.21,,8724,5,28,6
Hairdressers & related services,622,8.34,8.21,8.5,,8959,6,50,6
Health associate professionals,321,13.24,16.48,13,,14404,,19,3
Health associate professionals n.e.c.,3219,12.6,8.65,12.84,,,,,3
Health professionals,221,26.69,38.28,25.34,,27017,35,86,2
Higher education teaching professionals,2311,25.03,25.3,24.51,,,19,18,2
Housekeepers & related occupations,6231,8.89,8.48,8.92,,9330,,21,6
Housekeeping & related services,623,9.1,9.49,9,9480,8995,21,28,6
Housing officers,3234,13.94,12.29,13.97,0,14264,,6,3
Human resources & industrial relations officers,3562,12.63,11.38,12.77,,16249,,17,3
Industrial cleaning process occupations,9132,8.03,7.97,8.09,,,4,6,9
Information technology & telecommunications professionals,213,18.97,19.38,18.42,,20843,21,15,2
Information technology & telecommunications professionals n.e.c.,2139,18.72,18.73,17.53,,,7,,2
Information technology technicians,313,11.99,10.72,12.29,,14835,7,13,3
Inspectors of standards & regulations,3565,14.67,14.43,15.85,20523,17350,,,3
IT user support technicians,3132,13.28,10.71,13.61,,15513,,7,3
"Journalists, newspaper & periodical editors",2471,17.28,18.5,16.73,,,,,2
Kitchen & catering assistants,9272,8.24,8.21,8.31,7350,7306,121,254,9
Laboratory technicians,3111,10.28,9.07,10.35,,12272,,11,3
Large goods vehicle drivers,8211,10.62,10.77,9.65,,,14,,8
"Launderers, dry cleaners & pressers",9234,8.23,8.21,8.25,7683,8181,,6,9
Legal professionals,241,27.22,24.01,27.54,,35808,7,18,2
Leisure & sports managers,1225,10.38,9.63,10.52,,,,,1
Leisure & theme park attendants,9275,8.52,8.52,8.47,,,12,9,9
Leisure & travel service occupations n.e.c.,6219,9.94,9.85,10.34,,,8,,6
Leisure & travel services,621,9.28,9.2,9.36,,9519,37,47,6
Library clerks & assistants,4135,10.17,9.83,10.18,,9696,,13,4
Local government administrative occupations,4113,11.77,12.29,11.67,,12714,,17,4
Management consultants & business analysts,2423,18.41,19.12,17.98,,23370,7,10,2
Managers & directors in retail & wholesale,119,10,10.53,9.74,,12721,12,29,1
Managers & directors in storage & warehousing,1162,10,9.49,10.01,,,,,1
Managers & directors in transport & logistics,116,11.9,11.65,12,,,,,1
Managers & proprietors in health & care services,124,15.74,15.67,15.54,,21815,,10,1
Managers & proprietors in hospitality & leisure services,122,9.9,9.84,9.79,,9522,,10,1
Managers & proprietors in other services,125,12.8,14.4,12.18,,14162,12,21,1
Market research interviewers,7215,9.93,9.82,9.92,,,,4,7
Marketing & sales directors,1132,21.19,20.09,24.28,11400,,10,6,1
Marketing associate professionals,3543,12.06,11.15,12.07,,14844,,16,3
Medical practitioners,2211,40.91,48.38,36.48,,34680,24,33,2
Medical radiographers,2217,22.18,24.66,20.77,,21359,,9,2
Merchandisers & window dressers,7125,8.36,8.21,8.36,,7508,,8,7
"Metal machining, fitting & instrument making trades",522,11,11.27,8.8,15779,8966,13,,5
Metal working machine operatives,8125,9.66,10.06,8.96,,,,,8
Metal working production & maintenance fitters,5223,10.41,10.47,8.48,14221,8793,9,,5
National government administrative occupations,4112,10.91,11.06,10.84,14887,13783,4,16,4
Natural & social science professionals n.e.c.,2119,18.92,17.32,20.89,,26025,,,2
Nursery nurses & assistants,6121,8.87,8.49,8.87,,9315,,84,6
Nurses,2231,18.13,17.58,18.19,,18455,30,330,2
Nursing & midwifery professionals,223,18.33,17.56,18.39,,18779,30,351,2
Nursing auxiliaries & assistants,6141,11,10.48,11.01,10649,11641,19,151,6
Occupational therapists,2222,20.11,17.91,20.09,0,20969,,12,2
Office managers,4161,12.41,12.52,12.41,,12670,4,30,4
Office supervisors,4162,10.93,11.15,10.6,,12356,,5,4
Officers of non-governmental organisations,4114,11.19,8.89,11.43,,,,,4
Other administrative occupations,415,10.65,10.36,10.7,9288,10500,61,421,4
Other administrative occupations n.e.c.,4159,10.7,10.42,10.71,9289,10464,60,409,4
Other elementary services occupations,927,8.21,8.21,8.22,6515,6944,225,462,9
Other elementary services occupations n.e.c.,9279,8.56,8.26,9,,,,,9
"Packers, bottlers, canners & fillers",9134,8.42,8.41,8.39,12407,10534,5,9,9
Paramedics,3213,18.86,17.81,19.76,,19924,,,3
Parking & civil enforcement occupations,9242,9.19,9.16,9.19,,10703,,,9
Personal assistants & other secretaries,4215,10.05,9,10.2,,9692,9,92,4
Pharmacists,2213,21.86,20.89,22.13,,24689,,12,2
Pharmacy & other dispensing assistants,7114,8.73,8.39,8.76,,9974,,27,7
Physiotherapists,2221,21.48,19.97,21.57,,21141,,17,2
