occupation,code,earningsa,earningsm,earningsf,earningsannm,earningsannf,jobsm,jobsf,hierarchy
"Actuaries, economists & statisticians",2425,22.94,23.05,22.64,47418,41120,22,8,2
Administrative occupations Finance,412,12.01,12.54,11.91,24116,19740,146,396,4
Administrative occupations Government & related organisations,411,12.5,12.96,12.24,26737,21993,66,122,4
Administrative occupations Office managers & supervisors,416,14.96,16.1,14.51,32233,26700,71,160,4
Administrative occupations Records,413,11.16,11.54,11,23653,18876,138,217,4
Advertising accounts managers & creative directors,2473,21.77,24.22,19.35,47353,34056,15,12,2
Agricultural & fishing trades n.e.c.,5119,10.6,10.72,9.07,,0,11,,5
Agricultural & related trades,511,10.11,10.13,10,20265,19264,94,9,5
Air travel assistants,6214,10.45,12.37,9.87,23014,,9,18,6
Aircraft pilots & flight engineers,3512,38.46,38.05,24.47,77026,,8,,3
Ambulance staff (excluding paramedics),6142,12.03,12.04,12.02,23856,21978,15,9,6
Animal care & control services,613,9.8,10.36,9.35,21605,,11,32,6
Animal care services occupations n.e.c.,6139,9,10,8.81,20662,,8,19,6
Architects,2431,21.45,22.14,19.14,42826,35974,29,12,2
"Architects, town planners & surveyors",243,20.02,20.34,18.73,40009,34208,144,38,2
Architectural & town planning technicians,3121,14.37,14.25,14.37,,27378,11,7,3
Archivists & curators,2452,14.64,11.14,15.09,,24707,,7,2
"Artistic, literary & media occupations",341,15.81,16.39,15.38,30730,25479,39,32,3
Artists,3411,13.8,14.89,12.63,,,,,3
"Arts officers, producers & directors",3416,18.15,18.04,18.67,,34803,11,8,3
Assemblers & routine operatives,813,10.63,11.3,9.37,25213,18586,177,78,8
Assemblers & routine operatives n.e.c.,8139,10.03,10.73,9.34,23325,18755,74,33,8
Assemblers (electrical & electronic products),8131,10.56,10.97,9.09,25647,18437,9,5,8
Assemblers (vehicles & metal goods),8132,14.09,14.63,9.96,31409,20011,29,,8
"Authors, writers & translators",3412,15.43,17.79,14.59,32627,26855,6,9,3
Bakers & flour confectioners,5432,9.76,9.98,8.7,19934,,13,6,5
Bank & post office clerks,4123,11.33,11.38,11.32,22679,18133,27,51,4
Bar staff,9274,8.22,8.25,8.21,7584,,64,98,9
Beauticians & related occupations,6222,9.12,8.93,9.12,,11368,,36,6
Biological scientists & biochemists,2112,19.72,19.46,19.73,37028,33109,25,30,2
"Book-keepers, payroll managers & wages clerks",4122,12.52,13.8,12.31,25904,20264,72,218,4
Building finishing trades,532,11.73,11.78,8.81,25180,,38,,5
Bus & coach drivers,8213,11.86,11.95,11.06,25542,20536,116,11,8
Business & financial project management professionals,2424,24.66,26.21,22.33,52235,39174,175,95,2
Business & related associate professionals n.e.c.,3539,14.78,16.16,13.6,31538,23953,84,107,3
Business & related research professionals,2426,18.4,18.88,17.75,34886,31500,57,46,2
Business sales executives,3542,15.2,16.42,13.11,35949,24473,168,84,3
"Business, finance & related associate professionals",353,17.37,19.11,15.79,37495,27848,286,295,3
"Business, research & administrative professionals",242,21.89,23.01,20.25,44322,35899,457,282,2
"Business, research & administrative professionals n.e.c.",2429,23.67,24.99,21.43,44805,37667,27,25,2
Butchers,5431,10,10.01,9.25,21932,19489,28,,5
Buyers & procurement officers,3541,15.41,15.8,15.08,31946,28524,28,32,3
Call & contact centre occupations,7211,9.37,9.05,9.69,18089,16818,18,25,7
Care escorts,6147,9.45,9.42,9.42,,7858,,8,6
Care workers & home carers,6145,9.5,9.73,9.41,18069,14348,133,589,6
Careers advisers & vocational guidance specialists,3564,13.51,13.46,13.63,,24460,,11,3
Caretakers,6232,10.27,10.35,9.93,19033,,61,12,6
Caring personal services,614,9.99,10.22,9.93,19837,15263,257,1049,6
Carpenters & joiners,5315,12.94,13,7.34,26989,,78,,5
Catering & bar managers,5436,10.14,10.41,9.99,21696,18429,26,29,5
Chartered & certified accountants,2421,20.09,20.19,19.95,37848,33975,52,39,2
Chartered surveyors,2434,19.07,18.93,19.38,35736,33798,58,12,2
Chefs,5434,9.68,9.78,9.49,21231,18239,191,60,5
Chemical & related process operatives,8114,13.41,14.39,10.28,31089,,18,,8
Chemical scientists,2111,16.8,16.92,15.98,31689,,9,,2
Chief executives & senior officials,111,42.27,44.22,37.99,93668,71214,75,28,1
Child & early years officers,3233,12.34,13.48,12.07,23646,21019,5,32,3
Childcare & related personal services,612,9.64,10.02,9.61,14664,12498,62,692,6
Civil engineers,2121,20.44,20.44,20.16,40331,41530,42,6,2
Cleaners & domestics,9233,8.65,8.75,8.63,11764,7628,135,447,9
