LANAME,LACODE,Year,Rate Females
Hartlepool                                        ,E06000001,2015-2017,187.2519306
Middlesbrough                                     ,E06000002,2015-2017,211.8368928
Redcar and Cleveland                              ,E06000003,2015-2017,182.4285342
Stockton-on-Tees                                  ,E06000004,2015-2017,167.766135
Darlington                                        ,E06000005,2015-2017,148.7469704
Halton                                            ,E06000006,2015-2017,185.5330575
Warrington                                        ,E06000007,2015-2017,138.3242373
Blackburn with Darwen                             ,E06000008,2015-2017,204.0657987
Blackpool                                         ,E06000009,2015-2017,232.3669674
"Kingston upon Hull, City of                       ",E06000010,2015-2017,218.2622747
East Riding of Yorkshire                          ,E06000011,2015-2017,121.5238028
North East Lincolnshire                           ,E06000012,2015-2017,161.0347073
North Lincolnshire                                ,E06000013,2015-2017,147.0072985
York                                              ,E06000014,2015-2017,129.0021209
Derby                                             ,E06000015,2015-2017,155.9152821
Leicester                                         ,E06000016,2015-2017,151.5286323
Rutland                                           ,E06000017,2015-2017,112.3992802
Nottingham                                        ,E06000018,2015-2017,196.3888084
"Herefordshire, County of                          ",E06000019,2015-2017,122.4784764
Telford and Wrekin                                ,E06000020,2015-2017,155.9252421
Stoke-on-Trent                                    ,E06000021,2015-2017,192.0862971
Bath and North East Somerset                      ,E06000022,2015-2017,106.9362783
"Bristol, City of                                  ",E06000023,2015-2017,148.0512343
North Somerset                                    ,E06000024,2015-2017,125.6854289
South Gloucestershire                             ,E06000025,2015-2017,105.7770588
Plymouth                                          ,E06000026,2015-2017,160.8040092
Torbay                                            ,E06000027,2015-2017,148.377348
Bournemouth                                       ,E06000028,2015-2017,148.8392073
Poole                                             ,E06000029,2015-2017,125.1623794
Swindon                                           ,E06000030,2015-2017,125.4369375
Peterborough                                      ,E06000031,2015-2017,138.1121249
Luton                                             ,E06000032,2015-2017,144.820924
Southend-on-Sea                                   ,E06000033,2015-2017,145.8233175
Thurrock                                          ,E06000034,2015-2017,158.7684289
Medway                                            ,E06000035,2015-2017,147.3134602
Bracknell Forest                                  ,E06000036,2015-2017,117.8178745
West Berkshire                                    ,E06000037,2015-2017,113.4664294
Reading                                           ,E06000038,2015-2017,151.3403391
Slough                                            ,E06000039,2015-2017,166.8979356
Windsor and Maidenhead                            ,E06000040,2015-2017,101.0191753
Wokingham                                         ,E06000041,2015-2017,96.55074722
Milton Keynes                                     ,E06000042,2015-2017,141.9511686
Brighton and Hove                                 ,E06000043,2015-2017,149.8119114
Portsmouth                                        ,E06000044,2015-2017,158.165425
Southampton                                       ,E06000045,2015-2017,160.714334
Isle of Wight                                     ,E06000046,2015-2017,126.4810118
County Durham                                     ,E06000047,2015-2017,171.3597727
Cheshire East                                     ,E06000049,2015-2017,126.1342533
Cheshire West and Chester                         ,E06000050,2015-2017,144.2914867
Shropshire                                        ,E06000051,2015-2017,121.9576744
Cornwall and Isles of Scilly                                      ,E06000052,2015-2017,129
Wiltshire                                         ,E06000054,2015-2017,111.5387738
Bedford                                           ,E06000055,2015-2017,129.7865666
Central Bedfordshire                              ,E06000056,2015-2017,116.4302983
Northumberland                                    ,E06000057,2015-2017,149.0181133
Aylesbury Vale                                    ,E07000004,2015-2017,107.198429
Chiltern                                          ,E07000005,2015-2017,93.96920646
South Bucks                                       ,E07000006,2015-2017,123.3928028
Wycombe                                           ,E07000007,2015-2017,105.8421016
Cambridge                                         ,E07000008,2015-2017,123.6351837
East Cambridgeshire                               ,E07000009,2015-2017,112.1884551
Fenland                                           ,E07000010,2015-2017,155.9094119
Huntingdonshire                                   ,E07000011,2015-2017,99.25106563
South Cambridgeshire                              ,E07000012,2015-2017,98.5905591
Allerdale                                         ,E07000026,2015-2017,152.0613227
Barrow-in-Furness                                 ,E07000027,2015-2017,177.5047054
Carlisle                                          ,E07000028,2015-2017,153.1476447
Copeland                                          ,E07000029,2015-2017,180.0373742
Eden                                              ,E07000030,2015-2017,124.3221037
South Lakeland                                    ,E07000031,2015-2017,100.0042262
Amber Valley                                      ,E07000032,2015-2017,136.6235791
Bolsover                                          ,E07000033,2015-2017,180.5721787
Chesterfield                                      ,E07000034,2015-2017,172.7205441
Derbyshire Dales                                  ,E07000035,2015-2017,117.1505109
Erewash                                           ,E07000036,2015-2017,136.7695471
High Peak                                         ,E07000037,2015-2017,139.4394424
North East Derbyshire                             ,E07000038,2015-2017,127.3302119
South Derbyshire                                  ,E07000039,2015-2017,148.3893845
East Devon                                        ,E07000040,2015-2017,106.6382356
Exeter                                            ,E07000041,2015-2017,132.9883098
Mid Devon                                         ,E07000042,2015-2017,118.8712116
North Devon                                       ,E07000043,2015-2017,147.627262
South Hams                                        ,E07000044,2015-2017,103.7221176
Teignbridge                                       ,E07000045,2015-2017,117.6343066
Torridge                                          ,E07000046,2015-2017,123.0589942
West Devon                                        ,E07000047,2015-2017,126.1643785
Christchurch                                      ,E07000048,2015-2017,95.68289219
East Dorset                                       ,E07000049,2015-2017,88.54546748
North Dorset                                      ,E07000050,2015-2017,102.6526501
Purbeck                                           ,E07000051,2015-2017,111.8081612
West Dorset                                       ,E07000052,2015-2017,106.4576013
Weymouth and Portland                             ,E07000053,2015-2017,136.3819345
Eastbourne                                        ,E07000061,2015-2017,147.7508654
Hastings                                          ,E07000062,2015-2017,153.662031
Lewes                                             ,E07000063,2015-2017,104.3236483
Rother                                            ,E07000064,2015-2017,122.2444336
Wealden                                           ,E07000065,2015-2017,105.7080247
Basildon                                          ,E07000066,2015-2017,136.156159
Braintree                                         ,E07000067,2015-2017,128.6184262
Brentwood                                         ,E07000068,2015-2017,108.133586
Castle Point                                      ,E07000069,2015-2017,137.3339311
Chelmsford                                        ,E07000070,2015-2017,111.3399246
Colchester                                        ,E07000071,2015-2017,115.5222731
Epping Forest                                     ,E07000072,2015-2017,121.5716563
Harlow                                            ,E07000073,2015-2017,132.8301865
Maldon                                            ,E07000074,2015-2017,147.5664894
Rochford                                          ,E07000075,2015-2017,98.19960991
Tendring                                          ,E07000076,2015-2017,166.0389122
Uttlesford                                        ,E07000077,2015-2017,108.7631086
Cheltenham                                        ,E07000078,2015-2017,149.0078839
Cotswold                                          ,E07000079,2015-2017,110.5600146
Forest of Dean                                    ,E07000080,2015-2017,126.0305688
Gloucester                                        ,E07000081,2015-2017,158.1999763
Stroud                                            ,E07000082,2015-2017,111.1815371
Tewkesbury                                        ,E07000083,2015-2017,118.0779215
Basingstoke and Deane                             ,E07000084,2015-2017,121.1554669
East Hampshire                                    ,E07000085,2015-2017,100.8143019
Eastleigh                                         ,E07000086,2015-2017,107.9505975
Fareham                                           ,E07000087,2015-2017,109.559003
Gosport                                           ,E07000088,2015-2017,142.4862281
Hart                                              ,E07000089,2015-2017,95.72289235
Havant                                            ,E07000090,2015-2017,148.0948326
New Forest                                        ,E07000091,2015-2017,102.7383331
Rushmoor                                          ,E07000092,2015-2017,140.5293153
Test Valley                                       ,E07000093,2015-2017,116.4886158
Winchester                                        ,E07000094,2015-2017,103.6475233
Broxbourne                                        ,E07000095,2015-2017,100.6070319
Dacorum                                           ,E07000096,2015-2017,128.8382022
Hertsmere                                         ,E07000098,2015-2017,116.6815345
North Hertfordshire                               ,E07000099,2015-2017,115.3494599
Three Rivers                                      ,E07000102,2015-2017,111.4646607
Watford                                           ,E07000103,2015-2017,125.3602533
Ashford                                           ,E07000105,2015-2017,110.171723
Canterbury                                        ,E07000106,2015-2017,130.7830351
Dartford                                          ,E07000107,2015-2017,151.8756117
Dover                                             ,E07000108,2015-2017,145.1879853
Gravesham                                         ,E07000109,2015-2017,118.3464025
Maidstone                                         ,E07000110,2015-2017,118.223727
Sevenoaks                                         ,E07000111,2015-2017,101.018185
Folkestone and Hythe                              ,E07000112,2015-2017,160.1514841
Swale                                             ,E07000113,2015-2017,140.8543206
Thanet                                            ,E07000114,2015-2017,165.760731
Tonbridge and Malling                             ,E07000115,2015-2017,114.1304525
Tunbridge Wells                                   ,E07000116,2015-2017,128.6997243
Burnley                                           ,E07000117,2015-2017,197.6058017
Chorley                                           ,E07000118,2015-2017,137.096442
Fylde                                             ,E07000119,2015-2017,144.4321813
Hyndburn                                          ,E07000120,2015-2017,174.9486583
Lancaster                                         ,E07000121,2015-2017,146.9656034
Pendle                                            ,E07000122,2015-2017,176.3453137
Preston                                           ,E07000123,2015-2017,177.0207607
Ribble Valley                                     ,E07000124,2015-2017,133.4648165
Rossendale                                        ,E07000125,2015-2017,169.4626565
South Ribble                                      ,E07000126,2015-2017,135.6716038
West Lancashire                                   ,E07000127,2015-2017,151.2826369
Wyre                                              ,E07000128,2015-2017,140.3999857
Blaby                                             ,E07000129,2015-2017,122.0586091
Charnwood                                         ,E07000130,2015-2017,115.3808693
Harborough                                        ,E07000131,2015-2017,93.42701863
Hinckley and Bosworth                             ,E07000132,2015-2017,125.8441232
Melton                                            ,E07000133,2015-2017,123.1752509
North West Leicestershire                         ,E07000134,2015-2017,133.1943024
Oadby and Wigston                                 ,E07000135,2015-2017,109.0452009
Boston                                            ,E07000136,2015-2017,159.9948094
East Lindsey                                      ,E07000137,2015-2017,157.0560087
Lincoln                                           ,E07000138,2015-2017,163.5508337
North Kesteven                                    ,E07000139,2015-2017,113.3328516
South Holland                                     ,E07000140,2015-2017,144.5404181
South Kesteven                                    ,E07000141,2015-2017,109.79528
West Lindsey                                      ,E07000142,2015-2017,113.7503582
Breckland                                         ,E07000143,2015-2017,120.2020955
Broadland                                         ,E07000144,2015-2017,97.94524674
Great Yarmouth                                    ,E07000145,2015-2017,151.5880683
King's Lynn and West Norfolk                      ,E07000146,2015-2017,135.2759908
North Norfolk                                     ,E07000147,2015-2017,122.067312
Norwich                                           ,E07000148,2015-2017,163.1463271
South Norfolk                                     ,E07000149,2015-2017,108.0334757
Corby                                             ,E07000150,2015-2017,186.406701
