LANAME,LACODE,Year,Rate Males
Purbeck                                           ,E07000051,2015-2017,190.3343719
West Dorset                                       ,E07000052,2015-2017,200.6998107
Weymouth and Portland                             ,E07000053,2015-2017,253.8108711
Eastbourne                                        ,E07000061,2015-2017,236.4502872
Hastings                                          ,E07000062,2015-2017,331.9380627
Lewes                                             ,E07000063,2015-2017,181.3622284
Rother                                            ,E07000064,2015-2017,193.7792517
Wealden                                           ,E07000065,2015-2017,172.5075741
Basildon                                          ,E07000066,2015-2017,224.1560983
Braintree                                         ,E07000067,2015-2017,198.9334103
Brentwood                                         ,E07000068,2015-2017,164.0137194
Castle Point                                      ,E07000069,2015-2017,202.1079111
Chelmsford                                        ,E07000070,2015-2017,174.9302748
Colchester                                        ,E07000071,2015-2017,207.032001
Epping Forest                                     ,E07000072,2015-2017,158.5709983
Harlow                                            ,E07000073,2015-2017,272.8868681
Maldon                                            ,E07000074,2015-2017,194.2600687
Rochford                                          ,E07000075,2015-2017,149.7748974
Tendring                                          ,E07000076,2015-2017,275.1938681
Uttlesford                                        ,E07000077,2015-2017,155.6372966
Cheltenham                                        ,E07000078,2015-2017,229.0995968
Cotswold                                          ,E07000079,2015-2017,168.3898851
Forest of Dean                                    ,E07000080,2015-2017,186.3527087
Gloucester                                        ,E07000081,2015-2017,297.4964325
Stroud                                            ,E07000082,2015-2017,198.4248285
Tewkesbury                                        ,E07000083,2015-2017,179.278931
Basingstoke and Deane                             ,E07000084,2015-2017,205.3779729
East Hampshire                                    ,E07000085,2015-2017,164.3208228
Eastleigh                                         ,E07000086,2015-2017,183.426232
Fareham                                           ,E07000087,2015-2017,152.9821734
Gosport                                           ,E07000088,2015-2017,234.3504215
Hart                                              ,E07000089,2015-2017,144.7376089
Havant                                            ,E07000090,2015-2017,203.993117
New Forest                                        ,E07000091,2015-2017,179.7256928
Rushmoor                                          ,E07000092,2015-2017,205.3195701
Test Valley                                       ,E07000093,2015-2017,175.8855281
Winchester                                        ,E07000094,2015-2017,164.7741032
Broxbourne                                        ,E07000095,2015-2017,185.4693049
Dacorum                                           ,E07000096,2015-2017,182.7828484
Hertsmere                                         ,E07000098,2015-2017,186.2018793
North Hertfordshire                               ,E07000099,2015-2017,173.4033259
Three Rivers                                      ,E07000102,2015-2017,174.3959913
Watford                                           ,E07000103,2015-2017,218.9140046
Ashford                                           ,E07000105,2015-2017,191.091644
Canterbury                                        ,E07000106,2015-2017,213.5678993
Dartford                                          ,E07000107,2015-2017,231.4478913
Dover                                             ,E07000108,2015-2017,229.2787055
Gravesham                                         ,E07000109,2015-2017,222.2807375
Maidstone                                         ,E07000110,2015-2017,194.798586
Sevenoaks                                         ,E07000111,2015-2017,158.2020407
Folkestone and Hythe                              ,E07000112,2015-2017,258.6024118
Swale                                             ,E07000113,2015-2017,240.5985133
Thanet                                            ,E07000114,2015-2017,293.3349706
Tonbridge and Malling                             ,E07000115,2015-2017,179.0032061
Tunbridge Wells                                   ,E07000116,2015-2017,175.6696385
Burnley                                           ,E07000117,2015-2017,344.7392374
Chorley                                           ,E07000118,2015-2017,217.3623633
Fylde                                             ,E07000119,2015-2017,199.4718413
Hyndburn                                          ,E07000120,2015-2017,299.487172
Lancaster                                         ,E07000121,2015-2017,237.3866334
Pendle                                            ,E07000122,2015-2017,280.1413696
Preston                                           ,E07000123,2015-2017,282.6405502
Ribble Valley                                     ,E07000124,2015-2017,195.5700972
Rossendale                                        ,E07000125,2015-2017,256.0690598
South Ribble                                      ,E07000126,2015-2017,201.977415
West Lancashire                                   ,E07000127,2015-2017,222.7062094
Wyre                                              ,E07000128,2015-2017,236.7880393
Blaby                                             ,E07000129,2015-2017,186.9023807
Charnwood                                         ,E07000130,2015-2017,185.8852643
Harborough                                        ,E07000131,2015-2017,179.7462834
Hinckley and Bosworth                             ,E07000132,2015-2017,181.7792215
Melton                                            ,E07000133,2015-2017,194.4510507
North West Leicestershire                         ,E07000134,2015-2017,191.0523158
