name,value
South West,30.50249347
East Midlands,31.63297683
Wales,22.11819216
Scotland,8.784286978
East,29.09475212
North East,19.98467139
North West,18.98678634
South East,30.2032029
West Midlands,23.15676644
Yorkshire and The Humber,23.17999754
Northern Ireland,5.560087106
London,26.88611593
South West,-25.23547861
East Midlands,-28.06545974
Wales,-19.29178139
Scotland,-6.944587819
East,-27.42787794
North East,-18.69455713
North West,-17.79523869
South East,-29.02841977
West Midlands,-22.69197602
Yorkshire and The Humber,-22.78165842
Northern Ireland,-5.448906744
London,-38.58356503
South West,5.267014863
East Midlands,3.567517089
Wales,2.826410766
Scotland,1.839699159
East,1.666874175
North East,1.290114254
North West,1.191547658
South East,1.174783128
West Midlands,0.464790419
Yorkshire and The Humber,0.398339122
Northern Ireland,0.111180361
London,-11.6974491
