id,parentId,name,size
c0,NULL,Total,338871
c1,c0,Food & live animals,15048
c1_1,c1,Live animals,571
c1_2,c1,Meat & meat preparations,1849
c1_3,c1,Dairy products & eggs,1803
c1_4,c1,Fish & shellfish,1965
c1_5,c1,Cereals,2193
c1_6,c1,Animal feeding stuffs,1408
c1_7,c1,Vegetables & fruit,1255
c1_8,c1,Sugar,404
c1_9,c1,"Coffee, tea, cocoa etc",1534
c1_10,c1,Miscellaneous foods,2066
c2,c0,Beverages & tobacco,7789
c2_1,c2,Beverages,7669
c2_2,c2,Tobacco,120
c3,c0,Crude materials,7428
c3_1,c3,Wood & cork,127
c3_2,c3,Pulp & waste paper,692
c3_3,c3,Textile fibres,691
c3_4,c3,Metal ores & scrap,4465
c3_5,c3,"Hides, skins & furskins",180
c3_6,c3,Oil-seeds & oleaginous fruits,83
c3_7,c3,Crude rubber,341
c3_8,c3,Crude minerals & fertilisers,499
c3_9,c3,Other crude animal & vegetable materials,350
c4,c0,Animal & vegetable oils & fats,527
c4_1,c4,Animal oils & fats,178
c4_2,c4,Vegetable oils & fats,226
c4_3,c4,Processed oils & fats,123
c5,c0,Fuels,29913
c5_1,c5,Crude oil,15226
c5_2,c5,Refined oil,11536
c5_3,c5,"Coal, coke & briquettes",73
c5_4,c5,Gas,2903
c5_5,c5,Electricity,175
c6,c0,Chemicals,58451
c6_1,c6,Organic chemicals,8493
c6_2,c6,Inorganic chemicals,1643
c6_3,c6,"Dyeing, tanning & colouring materials",2404
c6_4,c6,Medicinal & pharmaceutical products,27291
c6_5,c6,Toilet & cleansing preparations,6202
c6_6,c6,Plastics in primary forms,3627
c6_7,c6,Plastics in non-primary forms,3060
c6_8,c6,Processed fertilisers,275
c6_9,c6,Other chemicals,5456
c7,c0,Material manufactures,31388
c7_1,c7,Leather manufactures,291
c7_2,c7,Rubber manufactures,1866
c7_3,c7,Wood & cork manufactures,302
c7_4,c7,Paper & paperboard,2369
c7_5,c7,Textile fabrics,3019
c7_6,c7,Mineral manufactures,4341
c7_7,c7,Iron & steel,4463
c7_8,c7,Non-ferrous metals,8611
c7_9,c7,Miscellaneous metal manufactures,6126
c8,c0,Machinery & transport equipment,137629
c8_1,c8,Mechanical power generators (consumer),0
c8_2,c8,Specialised machinery (consumer),186
c8_3,c8,General industrial machinery (consumer),100
c8_4,c8,Mechanical power generators (intermediate),23470
c8_5,c8,Specialised machinery (intermediate),2024
c8_6,c8,Metal working machinery (intermediate),352
c8_7,c8,General industrial machinery (intermediate),6597
c8_8,c8,Mechanical power generators (capital),1936
c8_9,c8,Specialised machinery (capital),6001
c8_10,c8,Metal working machinery (capital),631
c8_11,c8,General industrial machinery (capital),7425
c8_12,c8,Office machinery (consumer),1
c8_13,c8,Telecoms & sound equipment (consumer),227
c8_14,c8,Miscellaneous electrical goods (consumer),831
c8_15,c8,Electric motors (intermediate),209
c8_16,c8,Office machinery (intermediate),1108
c8_17,c8,Telecoms & sound equipment (intermediate),857
c8_18,c8,Miscellaneous electrical goods (intermediate),8931
c8_19,c8,Electric motors (capital),1634
c8_20,c8,Office machinery (capital),4411
c8_21,c8,Telecoms & sound equipment (capital),6256
c8_22,c8,Miscellaneous electrical goods (capital),4113
c8_23,c8,Cars,34150
c8_24,c8,Road vehicles other than cars (consumer),417
c8_25,c8,Road vehicles other than cars (intermediate),5713
c8_26,c8,Road vehicles other than cars (capital),1975
c8_27,c8,Railway equipment (intermediate),229
c8_28,c8,Railway equipment (capital),27
c8_29,c8,Aircraft,16626
c8_30,c8,Ships,1192
c9,c0,Miscellaneous manufactures,47249
c9_1,c9,Clothing,6814
c9_2,c9,Footwear,1711
c9_3,c9,Scientific instruments (consumer),9
c9_4,c9,Photographic & optical goods & clocks (consumer),1852
c9_5,c9,Scientific instruments (intermediate),1551
c9_6,c9,Photographic & optical goods & clocks (intermediate),768
c9_7,c9,Scientific instruments (capital),9209
c9_8,c9,Photographic & optical goods & clocks (capital),20
c9_9,c9,Works of art,5452
c9_10,c9,Jewellery,4050
c9_11,c9,"Plumbing, heating & lighting fixtures (consumer)",36
c9_12,c9,Furniture (consumer),756
c9_13,c9,"Travel goods, handbags etc",724
c9_14,c9,Other manufactures (consumer),8412
c9_15,c9,"Plumbing, heating & lighting fixtures (intermediate)",703
c9_16,c9,Furniture (intermediate),1294
c9_17,c9,Other manufactures (intermediate),2722
c9_18,c9,"Plumbing, heating & lighting fixtures (capital)",194
c9_19,c9,Furniture (capital),419
c9_20,c9,Other manufactures (capital),553
c10,c0,Unspecified goods,3449
