date,series1,series1a,series1b,series1c,series2,series2a,series2b,series2c,series3,series3a,series3b,series3c,series4,series4a,series4b,series4c,series5,series5a,series5b,series5c
Jun-08,571,38,16,8,375,38,16,8,267,0,0,0,,,,,,,,
Dec-08,590,39,17,8,427,41,18,8,229,0,0,0,,,,,,,,
Jun-09,563,37,16,7,397,28,12,6,205,0,0,0,,,,,,,,
Dec-09,567,30,13,6,368,22,9,4,229,0,0,0,,,,,,,,
Mar-10,587,30,13,6,365,23,10,5,237,0,0,0,,,,,,,,
Jun-10,582,30,13,6,347,21,9,4,244,0,0,0,,,,,,,,
Sep-10,600,32,14,6,345,20,9,4,250,0,0,0,,,,,,,,
Dec-10,591,31,13,6,339,20,9,4,256,0,0,0,,,,,,,,
Mar-11,578,30,13,6,336,18,8,4,260,0,0,0,,,,,,,,
Jun-11,589,30,13,6,342,19,8,4,263,0,0,0,,,,,,,,
Sep-11,581,29,12,6,339,20,9,4,234,0,0,0,,,,,,,,
Dec-11,566,28,12,6,351,22,9,4,205,0,0,0,,,,,,,,
Mar-12,536,28,12,6,352,22,9,4,184,0,0,0,,,,,,,,
Jun-12,517,26,11,5,349,22,9,4,167,35,15,7,,,,,,,,
Sep-12,497,26,11,5,343,22,9,4,154,34,15,7,,,,,,,,
Dec-12,498,27,12,5,321,20,9,4,177,34,15,7,,,,,,,,
Mar-13,493,27,12,5,318,20,9,4,175,34,15,7,,,,,,,,
Jun-13,502,29,12,6,320,19,8,4,182,34,15,7,,,,,,,,
Sep-13,530,30,13,6,320,19,8,4,210,34,15,7,,,,,,,,
Dec-13,526,29,12,6,317,19,8,4,209,36,15,7,,,,,,,,
Mar-14,552,31,13,6,316,20,9,4,236,35,15,7,,,,,,,,
Jun-14,574,31,13,6,320,22,9,4,254,37,16,7,,,,,,,,
Sep-14,615,35,15,7,323,23,10,5,292,38,16,8,,,,,,,,
Dec-14,632,36,15,7,319,22,9,4,313,42,18,8,,,,,,,,
Mar-15,644,35,15,7,308,21,9,4,336,43,18,9,,,,,,,,
Jun-15,639,34,15,7,303,20,9,4,336,41,18,8,,,,,,,,
Sep-15,619,32,14,6,297,19,8,4,322,39,17,8,,,,,,,,
Dec-15,631,33,14,7,299,20,9,4,332,37,16,7,,,,,,,,
Mar-16,638,33,14,7,311,21,9,4,327,38,16,8,,,,,,,,
Jun-16,652,34,15,7,316,21,9,4,336,39,17,8,652,34,15,7,336,39,17,8
Sep-16,598,34,15,7,325,22,9,4,273,40,17,8,631,34,15,7,306,40,17,8
Dec-16,589,34,15,7,340,23,10,5,249,41,18,8,612,34,15,7,272,41,18,8
Mar-17,585,35,15,7,341,23,10,5,243,41,18,8,610,35,15,7,269,41,18,8
Jun-17,557,35,15,7,331,23,10,5,226,42,18,8,583,35,15,7,252,42,18,8
Sep-17,626,38,16,8,352,25,11,5,274,41,18,8,626,38,16,8,274,41,18,8
Dec-17,630,39,17,8,349,26,11,5,282,46,20,9,,,,,,,,
Mar-18,614,38,16,8,344,26,11,5,271,46,20,9,,,,,,,,
