AREACD,AREANM,yr1
E23000013,Cleveland,78
E23000008,Durham,31
E23000007,Northumbria,65
E23000006,Cheshire,35
E23000002,Cumbria,34
E23000005,Greater Manchester,129
E23000003,Lancashire,77
E23000004,Merseyside,99
E23000012,Humberside,72
E23000009,North Yorkshire,37
E23000011,South Yorkshire,74
E23000010,West Yorkshire,116
E23000018,Derbyshire,58
E23000021,Leicestershire,78
E23000020,Lincolnshire,35
E23000022,Northamptonshire,72
E23000019,Nottinghamshire,78
E23000015,Staffordshire,60
E23000017,Warwickshire,48
E23000016,West Mercia,42
E23000014,West Midlands,118
E23000026,Bedfordshire,89
E23000023,Cambridgeshire,45
E23000028,Essex,39
E23000027,Hertfordshire,47
E23000024,Norfolk,31
E23000025,Suffolk,29
E23000034,City of London,784
E23000001,Metropolitan Police,168
E23000030,Hampshire,41
E23000032,Kent,52
E23000031,Surrey,39
E23000033,Sussex,58
E23000029,Thames Valley,63
E23000036,Avon and Somerset,52
E23000035,Devon and Cornwall,25
E23000039,Dorset,32
E23000037,Gloucestershire,47
E23000038,Wiltshire,40
W15000004,Dyfed-Powys,44
W15000002,Gwent,24
W15000001,North Wales,38
W15000003,South Wales,56
