AREACD,AREANM,"rate per 100,000 population",% change over the last year
E23000001,Metropolitan Police,168.328173,0.917930237
E23000002,Cumbria,33.70786517,14.28571429
E23000003,Lancashire,77.22240859,32.75663206
E23000004,Merseyside,99.09655562,48.57142857
E23000005,Greater Manchester,129.3411462,null
E23000006,Cheshire,35.4805047,-1.058201058
E23000007,Northumbria,65.02830319,16.00985222
E23000008,Durham,31.11111111,-25.75757576
E23000009,North Yorkshire,36.59429129,31.00436681
E23000010,West Yorkshire,115.9081058,8.302956663
E23000011,South Yorkshire,74.06344194,2.380952381
E23000012,Humberside,71.9432197,14.35897436
E23000013,Cleveland,77.8876722,-2.433628319
E23000014,West Midlands,118.3170538,20.28070175
E23000015,Staffordshire,59.84727402,-0.443131462
E23000016,West Mercia,41.96133899,17.8807947
E23000017,Warwickshire,48.17569961,7.086614173
E23000018,Derbyshire,58.15061964,23.48178138
E23000019,Nottinghamshire,78.02284021,9.146341463
E23000020,Lincolnshire,35.41001065,15.15151515
E23000021,Leicestershire,78.28655835,16.96551724
E23000022,Northamptonshire,71.64058284,17.47787611
E23000023,Cambridgeshire,44.85363551,-28.97196262
E23000024,Norfolk,31.27782725,27.72727273
E23000025,Suffolk,29.19418758,51.36986301
E23000026,Bedfordshire,88.77520313,18.71227364
E23000027,Hertfordshire,46.57464646,3.189493433
E23000028,Essex,39.22214898,-23.88059701
E23000029,Thames Valley,63.30225363,13.4082397
E23000030,Hampshire,41.08550637,-6.33640553
E23000031,Surrey,39.14620771,6.422018349
E23000032,Kent,52.12028598,20.42875158
E23000033,Sussex,58.48298677,16.06096131
E23000034,City of London,null,null
E23000035,Devon and Cornwall,25.15579441,10.55276382
E23000036,Avon and Somerset,52.21238938,12.4523507
E23000037,Gloucestershire,47.2854641,12.0754717
E23000038,Wiltshire,39.92183138,7.116104869
E23000039,Dorset,32.43804334,19.04761905
W15000001,North Wales,38.48915697,4.280155642
W15000002,Gwent,23.99183257,25.89285714
W15000003,South Wales,55.64784053,18.67954911
W15000004,Dyfed-Powys,44.31114551,44.93670886
,,,
Source: Office for National Statistics,,,
