occupation,code,earningsa,earningsm,earningsf,earningsannm,earningsannf,jobsm,jobsf,hierarchy
Conservation and environmental associate professionals,355,11.47,11.6,11.17,22580,20424,,,3
Public services and other associate professionals,356,15.53,16.35,15,33591,29048,177,192,3
Administrative occupations: Government and related organisations,411,12.78,13.49,12.35,27395,24190,74,106,4
Administrative occupations: Finance,412,12.36,12.71,12.27,24870,23085,128,246,4
Administrative occupations: Records,413,11.08,11.44,10.79,23857,21104,118,144,4
Other administrative occupations,415,11.01,11.73,10.73,23921,20637,209,442,4
Administrative occupations: Office managers and supervisors,416,15.15,16,14.85,34819,29008,61,119,4
Secretarial and related occupations,421,10.95,10.3,11,21657,21029,30,276,4
Agricultural and related trades,511,9.87,9.87,9.64,20579,20819,84,,5
"Metal forming, welding and related trades",521,12.02,12.04,8.21,27288,17006,65,,5
"Metal machining, fitting and instrument making trades",522,13.94,14,10.56,31403,23416,353,11,5
Vehicle trades,523,12.48,12.48,12.35,27709,26652,163,,5
Electrical and electronic trades,524,14.67,14.72,13.83,32491,28055,276,8,5
"Skilled metal, electrical and electronic trades supervisors",525,16.04,16,16.26,35798,34669,36,,5
Construction and building trades,531,12.52,12.55,10.72,26926,21872,209,,5
Building finishing trades,532,11.93,11.97,9,25459,18391,37,,5
Construction and building trades supervisors,533,16.02,16.37,9.88,36869,,37,,5
Textiles and garments trades,541,10.54,11.29,8.8,24969,17082,11,,5
Printing trades,542,11.29,11.69,8.86,24579,19357,26,,5
Food preparation and hospitality trades,543,9.63,9.75,9.5,21421,18862,211,87,5
Other skilled trades,544,11.02,11.33,9.39,24398,17632,23,,5
Childcare and related personal services,612,9.32,9.85,9.26,17981,16357,30,269,6
Animal care and control services,613,9.58,10.73,9.08,23582,18189,9,19,6
Caring personal services,614,9.59,9.98,9.49,20924,18830,170,516,6
Leisure and travel services,621,11.28,12.37,10.1,27643,20861,46,37,6
Hairdressers and related services,622,8.2,8.99,8.09,17155,15848,5,32,6
Housekeeping and related services,623,10,10.3,9.17,20669,18712,42,19,6
Cleaning and housekeeping managers and supervisors,624,9.48,9.8,9.4,19943,18852,9,18,6
Sales assistants and retail cashiers,711,8.83,9.16,8.64,19663,16398,242,221,7
Sales related occupations,712,10.17,10.18,10.13,21204,20296,28,20,7
Sales supervisors,713,10.27,11.02,9.74,23687,19689,41,34,7
Customer service occupations,721,10.54,10.49,10.58,21043,20389,139,158,7
Customer service managers and supervisors,722,14.56,15.44,13.91,32088,27352,38,43,7
Process operatives,811,9.77,10.16,8.49,23012,17484,159,38,8
Plant and machine operatives,812,10.95,11.28,9.42,25224,19097,73,9,8
Assemblers and routine operatives,813,10.57,11.3,9.03,25418,18470,198,60,8
Construction operatives,814,11.76,11.87,9.02,26700,18154,126,4,8
Road transport drivers,821,10.78,10.81,9.54,26127,21532,545,16,8
Mobile machine drivers and operatives,822,11.12,11.16,9.86,26846,,76,,8
Other drivers and transport operatives,823,21.58,20.18,27.61,49867,50733,44,,8
Elementary agricultural occupations,911,8.9,8.98,8.01,21184,,34,5,9
Elementary construction occupations,912,10,10,8.4,22065,19142,73,,9
Elementary process plant occupations,913,9.09,9.5,8.44,21169,17759,149,57,9
Elementary administration occupations,921,12.01,12.05,11.74,25735,23078,117,26,9
Elementary cleaning occupations,923,8.5,8.89,8.14,18614,15585,88,79,9
Elementary security occupations,924,9.86,9.67,11.24,22639,23158,92,15,9
Elementary sales occupations,925,8.74,8.93,8.58,16369,16202,10,5,9
Elementary storage occupations,926,9.56,9.72,8.81,21588,18495,378,70,9
Other elementary services occupations,927,8.25,8.25,8.26,16281,15264,139,144,9
  Chief executives and senior officials,1115,47.64,50.5,37.95,102595,77488,59,19,1
  Production managers and directors in manufacturing,1121,23.33,23.75,21.69,49088,40647,369,82,1
  Production managers and directors in construction,1122,20.18,20.35,19,44398,,97,6,1
  Production managers and directors in mining and energy,1123,23.14,23.75,13.25,47620,22262,8,,1
  Financial managers and directors,1131,33.22,36.83,27.76,76108,53208,174,100,1
  Marketing and sales directors,1132,36.66,38.11,35.09,79113,66637,141,56,1
  Purchasing managers and directors,1133,23.89,24.22,23.04,49104,,44,19,1
  Advertising and public relations directors,1134,33.18,35.94,31.39,,55446,6,,1
  Human resource managers and directors,1135,25.22,27.24,24.44,54260,46905,39,79,1
  Information technology and telecommunications directors,1136,37.82,38.25,36.19,72413,,25,5,1
  Functional managers and directors n.e.c.,1139,29.48,30.48,26.63,62857,48299,30,21,1
  Financial institution managers and directors,1150,24.89,28.91,20.53,56375,39543,41,28,1
  Managers and directors in transport and distribution,1161,17.53,17.52,17.82,38970,38601,56,8,1
  Managers and directors in storage and warehousing,1162,13.89,14.39,12.18,30598,26060,95,27,1
  Senior police officers,1172,27.93,28.2,26.89,60457,57666,9,,1
"  Senior officers in fire, ambulance, prison and related services",1173,20.85,21.6,18.87,45208,44135,7,,1
  Health services and public health managers and directors,1181,25.06,26.7,23.5,50709,45655,17,22,1
  Managers and directors in retail and wholesale,1190,13.29,14.34,11.78,31789,24051,171,111,1
  Hotel and accommodation managers and proprietors,1221,12.31,11.72,12.4,25736,29233,10,8,1
  Restaurant and catering establishment managers and proprietors,1223,11.11,11.78,10,25278,23153,28,23,1
  Publicans and managers of licensed premises,1224,10.92,10.73,10.81,,,,,1
  Leisure and sports managers,1225,14.68,14.94,14.14,30547,29400,23,12,1
  Health care practice managers,1241,16.77,17.14,16.37,,31443,,10,1
"  Residential, day and domiciliary  care managers and proprietors",1242,16.06,16.11,15.95,33766,33135,9,35,1
"  Property, housing and estate managers",1251,17.43,18.8,15.56,37748,,61,36,1
  Hairdressing and beauty salon managers and proprietors,1253,11.01,10.07,11.08,,,,,1
  Shopkeepers and proprietors - wholesale and retail,1254,13.15,13.62,11.85,27873,24579,,,1
  Managers and proprietors in other services n.e.c.,1259,14.37,15.64,13.8,32564,25502,45,31,1
  Chemical scientists,2111,16.45,16.52,16.1,35045,,10,,2
  Biological scientists and biochemists,2112,19.31,20.04,18.5,39421,34879,27,23,2
  Physical scientists,2113,20.62,20.45,21.39,39883,38625,9,,2
  Social and humanities scientists,2114,16.64,17.36,14.46,,26379,,,2
  Natural and social science professionals n.e.c.,2119,19.43,19.95,18.28,40208,34977,27,17,2
  Civil engineers,2121,20.01,20.2,17.87,41317,36362,38,,2
  Mechanical engineers,2122,21.36,21.36,19.29,40928,40124,27,,2
  Electrical engineers,2123,24.19,24.24,20.96,49222,42720,19,,2
  Design and development engineers,2126,20.28,20.48,17.24,41211,38238,71,5,2
  Production and process engineers,2127,19.98,20.02,19.96,40043,,39,,2
  Engineering professionals n.e.c.,2129,20.52,20.95,17.75,42657,37684,149,21,2
  IT specialist managers,2133,23.96,24.7,21.22,47584,40182,124,30,2
  IT project and programme managers,2134,26.92,26.69,26.53,48208,47943,14,,2
"  IT business analysts, architects and systems designers",2135,24.81,25.3,21.13,50303,38982,89,14,2
  Programmers and software development professionals,2136,21.76,21.91,19.93,43024,36365,192,23,2
  Web design and development professionals,2137,16.1,16.3,15.51,32000,30457,37,9,2
  Information technology and telecommunications professionals n.e.c.,2139,20.57,21.12,19.27,42759,37618,80,17,2
  Conservation professionals,2141,16.79,17.86,13.43,37492,28321,,,2
  Environment professionals,2142,17.29,17.93,15.33,34892,30486,21,8,2
  Research and development managers,2150,23.9,24.25,21.19,50454,38970,35,15,2
  Medical practitioners,2211,30.47,33.94,26.42,90013,58977,121,90,2
  Psychologists,2212,21.43,22.26,17.3,,40679,,13,2
  Pharmacists,2213,20.03,20.71,19.44,43308,39278,13,16,2
  Veterinarians,2216,17.61,18.81,16.78,42665,37210,,8,2
  Medical radiographers,2217,18,17.96,18.09,35635,35328,10,17,2
  Podiatrists,2218,18.19,18.28,18.12,35662,35514,,,2
  Health professionals n.e.c.,2219,18.02,18.22,17.13,36245,31413,10,16,2
  Physiotherapists,2221,16.77,16.3,17.24,31123,32572,15,20,2
  Occupational therapists,2222,16.23,16.61,16.22,32075,29931,,19,2
  Therapy professionals n.e.c.,2229,16.77,14.21,17.14,31182,34507,,7,2
  Nurses,2231,16.97,17.35,16.91,33980,32066,102,476,2
  Higher education teaching professionals,2311,26.7,27.86,25.06,51851,45264,71,48,2
  Further education teaching professionals,2312,19.91,19.73,20.03,36745,35368,49,37,2
  Secondary education teaching professionals,2314,22.78,23.35,22.68,39757,36978,150,207,2
  Primary and nursery education teaching professionals,2315,21.23,22.37,21.19,37143,34826,73,236,2
  Special needs education teaching professionals,2316,20.09,21.25,19.93,36535,33374,7,21,2
  Senior professionals of educational establishments,2317,30.11,34.43,27.53,59930,49157,32,47,2
  Education advisers and school inspectors,2318,21.71,19.71,22.19,38850,41553,,8,2
  Teaching and other educational professionals n.e.c.,2319,14.3,16.11,12.97,31059,24145,15,33,2
  Solicitors,2413,22.63,24.64,21.52,50000,39813,36,36,2
  Legal professionals n.e.c.,2419,38.31,43.79,34.19,80191,64854,21,18,2
  Chartered and certified accountants,2421,20.31,21.74,19.07,42344,35394,43,29,2
  Management consultants and business analysts,2423,20.64,21.72,19.12,44377,36356,116,57,2
  Business and financial project management professionals,2424,25.15,26.91,21.85,53821,41047,153,75,2
"  Actuaries, economists and statisticians",2425,22.58,24.53,21.16,49869,41324,20,7,2
  Business and related research professionals,2426,18.06,18.27,17.65,34880,33492,51,33,2
"  Business, research and administrative professionals n.e.c.",2429,21.63,21.45,22.04,42824,40539,27,17,2
  Architects,2431,20.04,20.09,19.93,39972,36638,24,11,2
  Quantity surveyors,2433,21.43,21.82,20.17,42831,,29,,2
  Chartered surveyors,2434,17.71,17.83,16.56,37989,32765,52,9,2
  Construction project managers and related professionals,2436,19.08,19.79,16.35,37578,37598,16,,2
  Social workers,2442,18.46,18.74,18.38,35049,34009,21,66,2
  Probation officers,2443,16.95,16.93,16.96,32688,32493,,,2
  Clergy,2444,12.31,12.47,11.34,25830,,24,7,2
  Welfare professionals n.e.c.,2449,16.71,15.68,17.06,29194,34343,,9,2
  Librarians,2451,13.2,17.93,12.26,,24241,,6,2
  Archivists and curators,2452,14.56,14.03,15.61,25389,30426,,,2
  Quality control and planning engineers,2461,18.67,18.73,17.18,38597,33586,33,8,2
  Quality assurance and regulatory professionals,2462,21.91,23,20.77,44677,39321,48,32,2
  Environmental health professionals,2463,19.18,19.03,19.2,36874,35838,,,2
