id,name,rank1,rank2,rank3,rank4,rank5,trade_val1,trade_val2,trade_val3,trade_val4,trade_val5,eu_row_split
c9_9,Works of art,United States,Switzerland,Hong Kong,France,Germany,1327,431,179,131,52,0.11
c9_10,Jewellery,France,Germany,India,Hong Kong,United States,1018,247,208,195,178,0.62
c9_11,"Plumbing, heating & lighting fixtures (consumer)",China,Germany,Hong Kong,India,Poland,122,14,4,3,3,0.13
c9_12,Furniture (consumer),China,Italy,Poland,Germany,Vietnam,1447,574,436,325,274,0.44
c9_13,"Travel goods, handbags etc",China,France,Italy,Netherlands,India,706,547,332,145,136,0.53
c9_14,Other manufactures (consumer),China,United States,Germany,Netherlands,Hong Kong,3975,1383,1312,1100,695,0.43
c9_15,"Plumbing, heating & lighting fixtures (intermediate)",China,Germany,Italy,Slovakia,Poland,804,261,158,83,75,0.50
c9_16,Furniture (intermediate),Germany,United States,Poland,China,France,198,190,187,118,66,0.68
c9_17,Other manufactures (intermediate),Germany,China,Netherlands,France,United States,849,713,406,295,218,0.61
c9_18,"Plumbing, heating & lighting fixtures (capital)",Turkey,Germany,Italy,China,Netherlands,147,119,63,61,45,0.65
c9_19,Furniture (capital),China,Germany,Italy,France,Netherlands,591,108,57,47,38,0.34
c9_20,Other manufactures (capital),China,United States,France,Germany,Hong Kong,211,89,66,49,33,0.38
c10,Unspecified goods,United States,Canada,South Africa,China,Germany,1430,1163,316,314,290,0.14
