"Figure 2: Net migration by citizenship, UK, year ending June 2009 to year ending March 2019",,,,,,,,,,,,,,,,,,,,,,,,,
Units: Thousands,,,,,,,,,,,,,,,,,,,,,,,,,
: = Not available,,,,,,,,,,,,,,,,,,,,,,,,,
p = Year includes provisional estimates for 2018 and 2019,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Office for National Statistics – Long-Term International Migration (LTIM), LTIM with preliminary adjustments based on DWP and Home Office data",,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,
1.      Preliminary adjusted estimates are shown as dashed lines on the chart. ,,,,,,,,,,,,,,,,,,,,,,,,,
2.      Preliminary adjusted estimates for EU8 citizens have been produced for year ending June 2009 to year ending March 2016 and preliminary adjusted estimates for non-EU students have been produced for year ending December 2012 to year ending March 2019. Preliminary adjusted estimates for net migration have been produced for year ending March 2012 to year ending March 2019. ,,,,,,,,,,,,,,,,,,,,,,,,,
"3.      Confidence intervals for the unadjusted estimates are not shown in the chart, but are available in the accompanying dataset. ",,,,,,,,,,,,,,,,,,,,,,,,,
"4.      Confidence intervals for the preliminary adjusted estimates are not yet available. This does not mean that the estimates are more certain. As we refine our methods, we will develop our approach for displaying uncertainty around estimates based on multiple data sources.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
YE,British net migration3,EU net migration3,Non-EU net migration3,EU net migration preliminary adjusted estimates1 2 4,Non-EU net migration preliminary adjusted estimates1 2 4,,,,,,,,,,,,,,,,,,,,
YE Jun 09,-70,62,174,118,:,,,,,,,,,,,,,,,,,,,,
YE Sep 09,:,:,:,:,:,,,,,,,,,,,,,,,,,,,,
YE Dec 09,-44,58,184,93,:,,,,,,,,,,,,,,,,,,,,
YE Mar 10,-34,58,199,92,:,,,,,,,,,,,,,,,,,,,,
YE Jun 10,-33,72,196,107,:,,,,,,,,,,,,,,,,,,,,
YE Sep 10,-44,81,218,116,:,,,,,,,,,,,,,,,,,,,,
YE Dec 10,-43,77,217,112,:,,,,,,,,,,,,,,,,,,,,
YE Mar 11,-50,77,215,124,:,,,,,,,,,,,,,,,,,,,,
YE Jun 11,-55,79,222,127,:,,,,,,,,,,,,,,,,,,,,
YE Sep 11,-60,75,228,122,:,,,,,,,,,,,,,,,,,,,,
YE Dec 11,-70,82,204,126,:,,,,,,,,,,,,,,,,,,,,
YE Mar 12,-77,76,185,116,:,,,,,,,,,,,,,,,,,,,,
YE Jun 12,-76,72,172,112,:,,,,,,,,,,,,,,,,,,,,
YE Sep 12,-72,65,160,105,:,,,,,,,,,,,,,,,,,,,,
YE Dec 12,-63,82,157,113,126,,,,,,,,,,,,,,,,,,,,
YE Mar 13,-65,95,145,123,113,,,,,,,,,,,,,,,,,,,,
YE Jun 13,-63,106,139,134,108,,,,,,,,,,,,,,,,,,,,
YE Sep 13,-58,130,138,158,107,,,,,,,,,,,,,,,,,,,,
YE Dec 13,-57,123,142,151,119,,,,,,,,,,,,,,,,,,,,
YE Mar 14,-50,130,156,160,132,,,,,,,,,,,,,,,,,,,,
YE Jun 14,-48,138,164,168,139,,,,,,,,,,,,,,,,,,,,
YE Sep 14,-54,158,188,189,164,,,,,,,,,,,,,,,,,,,,
YE Dec 14,-55,174,194,205,166,,,,,,,,,,,,,,,,,,,,
YE Mar 15,-48,184,200,219,172,,,,,,,,,,,,,,,,,,,,
YE Jun 15,-46,180,202,215,174,,,,,,,,,,,,,,,,,,,,
YE Sep 15,-40,171,192,206,163,,,,,,,,,,,,,,,,,,,,
YE Dec 15,-40,184,189,218,164,,,,,,,,,,,,,,,,,,,,
YE Mar 16,-43,178,193,207,168,,,,,,,,,,,,,,,,,,,,
YE Jun 16,-49,189,196,:,171,,,,,,,,,,,,,,,,,,,,
YE Sep 16,-56,165,197,:,172,,,,,,,,,,,,,,,,,,,,
YE Dec 16,-60,133,208,:,188,,,,,,,,,,,,,,,,,,,,
YE Mar 17,-59,123,212,:,192,,,,,,,,,,,,,,,,,,,,
YE Jun 17,-48,103,204,:,184,,,,,,,,,,,,,,,,,,,,
YE Sep 17,-51,106,222,:,203,,,,,,,,,,,,,,,,,,,,
YE Dec 17,-48,99,234,:,208,,,,,,,,,,,,,,,,,,,,
YE Mar 18p,-55,85,237,:,211,,,,,,,,,,,,,,,,,,,,
YE Jun 18p,-48,74,250,:,224,,,,,,,,,,,,,,,,,,,,
YE Sep 18p,-35,57,262,:,236,,,,,,,,,,,,,,,,,,,,
YE Dec 18p,-48,75,232,:,214,,,,,,,,,,,,,,,,,,,,
YE Mar 19p,-52,59,238,:,219,,,,,,,,,,,,,,,,,,,,
