year,debt
Jan 2008,1.3383
Feb 2008,1.3316
Mar 2008,1.2897
Apr 2008,1.258
May 2008,1.2633
Jun 2008,1.2636
Jul 2008,1.2615
Aug 2008,1.2614
Sep 2008,1.2531
Oct 2008,1.2718
Nov 2008,1.2041
Dec 2008,1.1043
Jan 2009,1.0919
Feb 2009,1.1264
Mar 2009,1.0867
Apr 2009,1.1157
May 2009,1.1295
Jun 2009,1.1682
Jul 2009,1.1622
Aug 2009,1.1597
Sep 2009,1.1212
Oct 2009,1.0928
Nov 2009,1.1126
Dec 2009,1.1127
Jan 2010,1.1327
Feb 2010,1.1415
Mar 2010,1.1092
Apr 2010,1.1436
May 2010,1.1685
Jun 2010,1.2082
Jul 2010,1.1959
Aug 2010,1.2132
Sep 2010,1.1901
Oct 2010,1.1412
Nov 2010,1.1701
Dec 2010,1.1802
Jan 2011,1.1817
Feb 2011,1.1815
Mar 2011,1.1527
Apr 2011,1.1331
May 2011,1.1403
Jun 2011,1.1261
Jul 2011,1.1308
Aug 2011,1.1422
Sep 2011,1.147
Oct 2011,1.1487
Nov 2011,1.1659
Dec 2011,1.1843
Jan 2012,1.2034
Feb 2012,1.1941
Mar 2012,1.1981
Apr 2012,1.2161
May 2012,1.244
Jun 2012,1.2416
Jul 2012,1.2688
Aug 2012,1.2676
Sep 2012,1.2524
Oct 2012,1.2393
Nov 2012,1.244
Dec 2012,1.231
Jan 2013,1.2
Feb 2013,1.1594
Mar 2013,1.1634
Apr 2013,1.175
May 2013,1.1777
Jun 2013,1.174
Jul 2013,1.16
Aug 2013,1.1649
Sep 2013,1.1883
Oct 2013,1.1797
Nov 2013,1.1938
Dec 2013,1.1947
Jan 2014,1.2097
Feb 2014,1.2122
Mar 2014,1.2021
Apr 2014,1.2125
May 2014,1.2267
Jun 2014,1.2436
Jul 2014,1.2611
Aug 2014,1.2542
Sep 2014,1.2639
Oct 2014,1.2678
Nov 2014,1.2646
Dec 2014,1.2686
Jan 2015,1.3045
Feb 2015,1.3503
Mar 2015,1.3825
Apr 2015,1.3856
May 2015,1.3852
Jun 2015,1.3879
Jul 2015,1.4139
Aug 2015,1.4004
Sep 2015,1.3665
Oct 2015,1.3657
Nov 2015,1.4168
Dec 2015,1.3769
Jan 2016,1.3257
Feb 2016,1.289
Mar 2016,1.2809
Apr 2016,1.2622
May 2016,1.2846
Jun 2016,1.2646
Jul 2016,1.1884
Aug 2016,1.1687
Sep 2016,1.1722
Oct 2016,1.119
Nov 2016,1.1533
Dec 2016,1.1838
Jan 2017,1.1613
Feb 2017,1.1732
Mar 2017,1.1548
Apr 2017,1.1798
May 2017,1.1696
Jun 2017,1.1403
Jul 2017,1.1281
Aug 2017,1.0974
Sep 2017,1.1186
Oct 2017,1.1227
Nov 2017,1.1259
Dec 2017,1.133
Jan 2018,1.1331
Feb 2018,1.1311
Mar 2018,1.1328
Apr 2018,1.1477
May 2018,1.1397
Jun 2018,1.1378
Jul 2018,1.1269
Aug 2018,1.1157
Sep 2018,1.1195
Oct 2018,1.133
Nov 2018,1.1352
