North East	North West	Yorkshire & the H.	East Midlands	West Midlands	East	London	South East	South West	Wales	Scotland	N. Ireland	toplevel	secondlevel	name	min
11.80	12.60	11.70	12.10	11.00	11.90	9.60	12.50	10.70	10.70	14.60	15.60	Alcohol and tobacco	Alcohol and tobacco	Alcohol and tobacco	9.60
13.40	14.70	14.20	16.10	14.30	15.70	17.40	16.90	14.80	14.10	14.30	17.50	Communication	Communication	Communication	13.40
20.40	22.90	21.90	20.90	22.10	25.10	25.80	25.60	20.20	21.30	21.70	37.80	Clothing and footwear	Clothing and footwear	Clothing and footwear	20.20
35.40	32.40	31.10	34.60	30.90	36.70	41.70	38.70	32.90	33.40	31.00	33.00	Household costs	Household costs	Household costs	31.00
29.30	35.70	34.00	37.70	36.10	49.30	44.90	48.00	39.40	34.50	33.60	40.60	Miscellaneous	Miscellaneous	Miscellaneous	29.30
36.40	38.80	41.10	36.60	36.50	47.20	55.80	49.10	41.90	33.00	39.10	50.20	Restaurants and hotels	Restaurants and hotels	Restaurants and hotels	33.00
49.60	54.80	51.40	57.80	55.80	61.70	62.60	64.20	60.40	53.20	56.10	64.20	Food and non-alcoholic drinks	Food and non-alcoholic drinks	Food and non-alcoholic drinks	49.60
60.10	65.20	66.40	67.90	54.60	72.60	72.60	82.10	65.90	60.30	63.20	59.50	Recreation and culture	Recreation and culture	Recreation and culture	54.60
52.10	62.60	63.70	72.90	62.90	85.90	71.70	91.90	76.30	63.30	74.00	66.30	Transport	Transport	Transport	52.10
55.80	64.20	64.00	67.60	66.50	72.50	117.90	79.50	71.40	59.50	61.00	53.70	Housing and fuel	Housing and fuel	Housing and fuel	53.70
