date,data
2001,542.50
2002,545.90
2003,550.30
2004,554.30
2005,552.10
2006,547.10
2007,538.50
2008,530.50
2009,520.40
2010,527.70
2011,515.30
2012,507.20
2013,523.70
2014,530.90
2015,527.00
2016,528.90
