state,All deaths,Covid deaths
10,0,0
9,11.7,13.9
8,15.2,19.6
7,19.6,22.1
6,23.5,24.5
5,31.9,36.6
4,41.2,50.2
3,59.8,94.7
2,77.8,112.2
1,92.2,118.2
