xcategory,ycategory,amount
2 to 4 year olds,Owner occupied,3.4
2 to 4 year olds,Private rented,5.5
2 to 4 year olds,Social rented,11.2
5 to 10 year olds,Owner occupied,5.9
5 to 10 year olds,Private rented,9.5
5 to 10 year olds,Social rented,17.9
11 to 16 year olds,Owner occupied,11.5
11 to 16 year olds,Private rented,16.7
11 to 16 year olds,Social rented,21.1
