AREACD,AREANM,All,Male,Female
E06000001,Hartlepool                                        ,19.2,20.148,18.3
E06000002,Middlesbrough                                     ,18.6,19.7988,17.6
E06000003,Redcar and Cleveland                              ,15.0,14.5444,15.5
E06000004,Stockton-on-Tees                                  ,15.0,15.2141,14.8
E06000005,Darlington                                        ,14.4,15.2507,13.7
E06000047,County Durham                                     ,14.3,13.2263,15.2
E06000057,Northumberland                                    ,13.0,13.3888,12.6
E08000021,Newcastle upon Tyne                               ,15.2,17.6087,12.8
E08000022,North Tyneside                                    ,16.5,16.5317,16.5
E08000023,South Tyneside                                    ,18.4,19.4122,17.4
E08000024,Sunderland                                        ,22.7,25.0772,20.5
E08000037,Gateshead                                         ,16.5,18.8694,14.2
E06000006,Halton                                            ,15.0,15.7646,14.2
E06000007,Warrington                                        ,12.5,14.5275,10.7
E06000008,Blackburn with Darwen                             ,16.7,20.771,12.9
E06000009,Blackpool                                         ,22.3,23.2909,21.4
E06000049,Cheshire East                                     ,16.4,17.0186,15.8
E06000050,Cheshire West and Chester                         ,12.7,14.1057,11.3
E07000026,Allerdale                                         ,13.6,18.1625,9.6
E07000027,Barrow-in-Furness                                 ,18.1,17.8182,18.4
E07000028,Carlisle                                          ,16.1,19.5756,12.9
E07000029,Copeland                                          ,17.2,15.104,19.2
E07000030,Eden                                              ,13.1,15.8282,10.3
E07000031,South Lakeland                                    ,9.4,11.0778,7.8
E07000117,Burnley                                           ,10.3,13.0196,7.7
E07000118,Chorley                                           ,13.7,18.2915,9.2
E07000119,Fylde                                             ,11.7,13.0555,10.5
E07000120,Hyndburn                                          ,19.4,25.1536,13.9
E07000121,Lancaster                                         ,19.3,21.629,17.0
E07000122,Pendle                                            ,20.2,16.3463,23.8
E07000123,Preston                                           ,20.2,21.2404,19.0
E07000124,Ribble Valley                                     ,7.0,10.1887,3.7
E07000125,Rossendale                                        ,14.9,20.6892,9.4
E07000126,South Ribble                                      ,10.6,12.394,9.0
E07000127,West Lancashire                                   ,13.7,13.8452,13.5
E07000128,Wyre                                              ,11.2,15.2925,7.6
E08000001,Bolton                                            ,16.1,17.0694,15.3
E08000002,Bury                                              ,16.3,18.8646,13.8
E08000003,Manchester                                        ,22.0,22.3619,21.6
E08000004,Oldham                                            ,16.6,18.8533,14.4
E08000005,Rochdale                                          ,17.8,20.1496,15.4
E08000006,Salford                                           ,21.2,23.5784,18.9
E08000007,Stockport                                         ,14.3,16.9807,11.8
E08000008,Tameside                                          ,17.6,18.6905,16.6
E08000009,Trafford                                          ,12.7,14.8267,10.7
E08000010,Wigan                                             ,15.6,14.9412,16.4
E08000011,Knowsley                                          ,19.7,19.1989,20.1
E08000012,Liverpool                                         ,15.5,16.6572,14.4
E08000013,St. Helens                                        ,16.1,17.8985,14.4
E08000014,Sefton                                            ,12.4,12.5152,12.4
E08000015,Wirral                                            ,15.9,18.7497,13.4
E06000010,"Kingston upon Hull, City of                       ",23.1,24.3522,21.8
E06000011,East Riding of Yorkshire                          ,10.8,13.0507,8.7
E06000012,North East Lincolnshire                           ,20.0,22.2249,17.9
E06000013,North Lincolnshire                                ,20.8,22.7503,19.0
E06000014,York                                              ,9.0,10.4668,7.6
E07000163,Craven                                            ,7.4,7.1654,7.5
E07000164,Hambleton                                         ,17.0,21.4887,12.9
E07000165,Harrogate                                         ,18.9,19.4302,18.4
E07000166,Richmondshire                                     ,14.3,18.4556,10.5
E07000167,Ryedale                                           ,14.4,12.0743,16.5
E07000168,Scarborough                                       ,17.9,19.7197,16.2
