year,debt
Jan-08,5.2
Feb-08,5.2
Mar-08,5.2
Apr-08,5.3
May-08,5.2
Jun-08,5.4
Jul-08,5.5
Aug-08,5.7
Sep-08,5.9
Oct-08,6
Nov-08,6.2
Dec-08,6.4
Jan-09,6.5
Feb-09,6.7
Mar-09,7.1
Apr-09,7.3
May-09,7.6
Jun-09,7.8
Jul-09,7.9
Aug-09,7.9
Sep-09,7.8
Oct-09,7.9
Nov-09,7.8
Dec-09,7.8
Jan-10,7.7
Feb-10,7.9
Mar-10,8
Apr-10,8
May-10,7.9
Jun-10,7.9
Jul-10,7.8
Aug-10,7.8
Sep-10,7.8
Oct-10,7.9
Nov-10,7.9
Dec-10,7.9
Jan-11,7.9
Feb-11,7.8
Mar-11,7.8
Apr-11,7.7
May-11,7.8
Jun-11,7.9
Jul-11,8
Aug-11,8.2
Sep-11,8.3
Oct-11,8.4
Nov-11,8.5
Dec-11,8.4
Jan-12,8.3
Feb-12,8.3
Mar-12,8.2
Apr-12,8.2
May-12,8.1
Jun-12,8
Jul-12,8
Aug-12,7.9
Sep-12,7.9
Oct-12,7.9
Nov-12,7.8
Dec-12,7.8
Jan-13,7.8
Feb-13,8
Mar-13,7.8
Apr-13,7.8
May-13,7.8
Jun-13,7.7
Jul-13,7.7
Aug-13,7.7
Sep-13,7.6
Oct-13,7.4
Nov-13,7.2
Dec-13,7.2
Jan-14,7.2
Feb-14,6.9
Mar-14,6.8
Apr-14,6.6
May-14,6.4
Jun-14,6.3
Jul-14,6.1
Aug-14,6
Sep-14,6
Oct-14,6
Nov-14,5.9
Dec-14,5.7
Jan-15,5.7
Feb-15,5.6
Mar-15,5.5
Apr-15,5.5
May-15,5.6
Jun-15,5.6
Jul-15,5.5
Aug-15,5.4
Sep-15,5.3
Oct-15,5.2
Nov-15,5.1
Dec-15,5.1
Jan-16,5.1
Feb-16,5.1
Mar-16,5.1
Apr-16,5
May-16,4.9
Jun-16,4.9
Jul-16,4.9
Aug-16,5
Sep-16,4.8
Oct-16,4.8
Nov-16,4.8
Dec-16,4.8
Jan-17,4.7
Feb-17,4.7
Mar-17,4.6
Apr-17,4.6
May-17,4.5
Jun-17,4.4
Jul-17,4.3
Aug-17,4.3
Sep-17,4.3
Oct-17,4.3
Nov-17,4.3
Dec-17,4.4
Jan-18,4.3
Feb-18,4.2
Mar-18,4.2
Apr-18,4.2
May-18,4.2
Jun-18,4
Jul-18,4
Aug-18,4
Sep-18,4.1
Oct-18,4.1
