Region,Area Code,"Projected percentage population change for regions in England, mid-2016 to mid-2026"
London,E12000007,8.8
East,E12000006,7.3
South West,E12000009,6.6
South East,E12000008,6.4
East Midlands,E12000004,6
West Midlands,E12000005,5.4
Yorkshire and  The Humber,E12000003,3.5
North West,E12000002,3.4
North East,E12000001,1.9
