date,"Dollar, Euro and Swiss Franc",Yen
Jun-14,1.6212,
Sep-14,1.5608,
Dec-14,1.4847,
Mar-15,1.5729,
Jun-15,1.5147,
Sep-15,1.4819,
Dec-15,1.4378,
Mar-16,1.3429,
Jun-16,1.2991,
Sep-16,1.2303,
Dec-16,1.2507,
Mar-17,1.2990,
Jun-17,1.3416,
Sep-17,1.3510,
Dec-17,1.4033,
Mar-18,1.3203,
Jun-18,1.3041,
Sep-18,1.2769,
Dec-18,1.3030,
Mar-19,1.2728,
