group,I don't have access to a garden,"I have access to a private outdoor space but not a garden (balcony, yard, patio area)",I have access to a private communal garden,I have access to a private garden
All,12.3,3.6,4.4,79.7
White,9.8,3.4,4.1,82.7
Mixed,17.7,5.5,5.2,71.7
Asian,21.9,4.1,5.6,68.5
Black,36.7,6.3,7.1,49.9
Other,26.4,8.5,7.5,57.6
