occupation,code,earningsa,earningsm,earningsf,hierarchy
Pharmacists,2213,40275,43721,37943,2
Ophthalmic opticians,2214,36712,34733,36350,2
Dental practitioners,2215,x,70764,x,2
Veterinarians,2216,37415,38267,36385,2
Medical radiographers,2217,34705,34812,34653,2
Podiatrists,2218,30323,34379,29818,2
Health professionals n.e.c.,2219,31672,33970,30975,2
Physiotherapists,2221,31950,33340,31768,2
Occupational therapists,2222,29886,x,30311,2
Speech and language therapists,2223,31249,,27907,2
Therapy professionals n.e.c.,2229,32065,28916,34970,2
Nurses,2231,31581,33460,31140,2
Midwives,2232,35498,33511,35498,2
Higher education teaching professionals,2311,45240,47138,41433,2
Further education teaching professionals,2312,34472,35074,33081,2
Secondary education teaching professionals,2314,36756,39291,35576,2
Primary and nursery education teaching professionals,2315,34200,36474,34181,2
Special needs education teaching professionals,2316,35226,37524,34200,2
Senior professionals of educational establishments,2317,50169,55587,46672,2
Education advisers and school inspectors,2318,33710,x,32028,2
Teaching and other educational professionals n.e.c.,2319,27901,29986,25780,2
Barristers and judges,2412,41033,x,33230,2
Solicitors,2413,40081,43613,37866,2
Legal professionals n.e.c.,2419,69003,76490,59505,2
Chartered and certified accountants,2421,37535,39839,33948,2
Management consultants and business analysts,2423,39231,40036,36219,2
Business and financial project management professionals,2424,43399,46930,35862,2
"Actuaries, economists and statisticians",2425,44219,46576,39789,2
Business and related research professionals,2426,31088,32360,28501,2
"Business, research and administrative professionals n.e.c.",2429,33467,34681,32132,2
Architects,2431,37410,39328,30236,2
Town planning officers,2432,31754,33479,29933,2
Quantity surveyors,2433,37637,38746,31657,2
Chartered surveyors,2434,34451,34899,29621,2
Chartered architectural technologists,2435,24949,24615,,2
Construction project managers and related professionals,2436,35397,36258,x,2
Social workers,2442,31754,32789,31376,2
Probation officers,2443,32095,32807,31233,2
Clergy,2444,22192,22209,21579,2
Welfare professionals n.e.c.,2449,29750,x,29723,2
Librarians,2451,26739,32840,24631,2
Archivists and curators,2452,26723,25005,27394,2
Quality control and planning engineers,2461,34057,34104,33740,2
Quality assurance and regulatory professionals,2462,37867,40301,34173,2
Environmental health professionals,2463,33328,33336,31481,2
"Journalists, newspaper and periodical editors",2471,31994,32703,30129,2
Public relations professionals,2472,31300,32467,29988,2
Advertising accounts managers and creative directors,2473,35207,38804,33961,2
Laboratory technicians,3111,21503,23774,18667,3
Electrical and electronics technicians,3112,30900,31105,21037,3
Engineering technicians,3113,32608,32796,28821,3
Building and civil engineering technicians,3114,29049,29242,,3
Quality assurance technicians,3115,26650,27356,24160,3
"Planning, process and production technicians",3116,27373,28998,22729,3
"Science, engineering and production technicians n.e.c.",3119,25719,26632,19292,3
Architectural and town planning technicians,3121,27358,27322,26542,3
Draughtspersons,3122,27985,28309,23616,3
IT operations technicians,3131,28438,29449,26456,3
IT user support technicians,3132,27837,28924,25051,3
Paramedics,3213,37692,37836,35866,3
Dispensing opticians,3216,x,x,x,3
Pharmaceutical technicians,3217,21390,21107,21330,3
Medical and dental technicians,3218,27574,29731,25155,3
Health associate professionals n.e.c.,3219,x,29827,x,3
Youth and community workers,3231,24731,25815,24191,3
Child and early years officers,3233,23590,25381,23125,3
Housing officers,3234,25881,26861,24586,3
Counsellors,3235,24968,26070,23885,3
Welfare and housing associate professionals n.e.c.,3239,23679,24819,23102,3
NCOs and other ranks,3311,,,,3
Police officers (sergeant and below),3312,39969,40956,36409,3
Fire service officers (watch manager and below),3313,31155,31482,29415,3
Prison service officers (below principal officer),3314,28929,28930,24888,3
Police community support officers,3315,25729,26259,25475,3
Protective service associate professionals n.e.c.,3319,34819,34231,35113,3
Artists,3411,27887,29182,26288,3
"Authors, writers and translators",3412,28746,31041,26808,3
"Actors, entertainers and presenters",3413,x,x,,3
Dancers and choreographers,3414,x,,x,3
Musicians,3415,x,36597,,3
"Arts officers, producers and directors",3416,37113,39098,32151,3
"Photographers, audio-visual and broadcasting equipment operators",3417,25678,26370,19910,3
Graphic designers,3421,25000,26157,23618,3
"Product, clothing and related designers",3422,29093,29967,25503,3
Sports players,3441,x,x,,3
"Sports coaches, instructors and officials",3442,22107,21793,x,3
Fitness instructors,3443,16851,16515,x,3
Air traffic controllers,3511,x,78089,x,3
Aircraft pilots and flight engineers,3512,78659,78659,,3
Ship and hovercraft officers,3513,x,x,,3
Legal associate professionals,3520,27622,34966,25105,3
"Estimators, valuers and assessors",3531,29121,31468,24468,3
Brokers,3532,x,x,x,3
Insurance underwriters,3533,32132,35283,30265,3
Finance and investment analysts and advisers,3534,36629,40323,34147,3
Taxation experts,3535,42298,42255,42295,3
Importers and exporters,3536,26369,26766,,3
Financial and accounting technicians,3537,40903,48188,31597,3
Financial accounts managers,3538,36823,42938,31703,3
Business and related associate professionals n.e.c.,3539,27976,32201,24764,3
Buyers and procurement officers,3541,29889,30657,29442,3
Business sales executives,3542,29516,32215,25000,3
Marketing associate professionals,3543,27234,31086,25216,3
Estate agents and auctioneers,3544,23954,27042,x,3
Sales accounts and business development managers,3545,40934,43784,36039,3
Conference and exhibition managers and organisers,3546,26001,28000,24950,3
Conservation and environmental associate professionals,3550,21572,21641,20061,3
Public services associate professionals,3561,28962,31161,27436,3
Human resources and industrial relations officers,3562,27308,32067,26197,3
Vocational and industrial trainers and instructors,3563,27292,29019,24951,3
Careers advisers and vocational guidance specialists,3564,27140,27207,26931,3
Inspectors of standards and regulations,3565,28971,29567,25294,3
Health and safety officers,3567,33338,36624,28336,3
National government administrative occupations,4112,21335,22354,20845,4
Local government administrative occupations,4113,23114,25770,21813,4
Officers of non-governmental organisations,4114,26509,29635,23809,4
Credit controllers,4121,20891,22862,20174,4
"Book-keepers, payroll managers and wages clerks",4122,22467,26308,21204,4
Bank and post office clerks,4123,21137,22460,20556,4
Finance officers,4124,23334,x,23328,4
Financial administrative occupations n.e.c.,4129,20460,21580,19999,4
Records clerks and assistants,4131,20463,22637,19310,4
Pensions and insurance clerks and assistants,4132,21306,22571,19968,4
Stock control clerks and assistants,4133,20758,21063,20120,4
Transport and distribution clerks and assistants,4134,23525,25846,21059,4
Library clerks and assistants,4135,18556,18051,18553,4
Human resources administrative occupations,4138,20631,18228,21031,4
Sales administrators,4151,20179,21959,19740,4
Other administrative occupations n.e.c.,4159,18970,20487,18451,4
Office managers,4161,28204,33660,26240,4
Office supervisors,4162,25205,27556,22876,4
Medical secretaries,4211,21166,x,21167,4
Legal secretaries,4212,19288,x,19317,4
School secretaries,4213,19210,x,18896,4
Company secretaries,4214,25180,x,23593,4
Personal assistants and other secretaries,4215,24132,26010,23895,4
Receptionists,4216,16206,17458,16133,4
Typists and related keyboard occupations,4217,18683,20357,18115,4
Farmers,5111,25986,26444,x,5
Horticultural trades,5112,18456,18515,,5
Gardeners and landscape gardeners,5113,18683,18635,18544,5
Groundsmen and greenkeepers,5114,18210,18204,,5
Agricultural and fishing trades n.e.c.,5119,19715,20136,,5
Smiths and forge workers,5211,x,x,,5
"Moulders, core makers and die casters",5212,20171,20171,,5
Sheet metal workers,5213,24207,24751,,5
"Metal plate workers, and riveters",5214,28452,28452,,5
Welding trades,5215,25165,25246,,5
Pipe fitters,5216,37590,37590,,5
Metal machining setters and setter-operators,5221,25602,26009,x,5
"Tool makers, tool fitters and markers-out",5222,26544,26760,,5
Metal working production and maintenance fitters,5223,28110,28276,x,5
Precision instrument makers and repairers,5224,28633,28488,x,5
Air-conditioning and refrigeration engineers,5225,30269,30269,,5
"Vehicle technicians, mechanics and electricians",5231,24214,24381,16197,5
Vehicle body builders and repairers ,5232,23479,23479,,5
Vehicle paint technicians,5234,25279,25180,,5
Aircraft maintenance and related trades,5235,34795,35491,19371,5
Boat and ship builders and repairers,5236,29506,29506,,5
Rail and rolling stock builders and repairers,5237,40664,40196,,5
Electricians and electrical fitters,5241,29538,29574,x,5
Telecommunications engineers,5242,31694,32272,23352,5
"TV, video and audio engineers",5244,26694,26694,,5
IT engineers,5245,27011,26995,x,5
Electrical and electronic trades n.e.c.,5249,29671,29648,29535,5
"Skilled metal, electrical and electronic trades supervisors",5250,32664,32724,x,5
Steel erectors,5311,24360,24360,,5
Bricklayers and masons,5312,23001,23001,,5
"Roofers, roof tilers and slaters",5313,21459,21459,,5
Plumbers and heating and ventilating engineers,5314,27606,27606,x,5
Carpenters and joiners,5315,23447,23508,,5
"Glaziers, window fabricators and fitters",5316,20237,20246,x,5
Construction and building trades n.e.c.,5319,25077,25083,x,5
Plasterers,5321,22179,22179,,5
Floorers and wall tilers,5322,21917,21917,,5
Painters and decorators,5323,22719,22780,,5
Construction and building trades supervisors,5330,32193,32436,17493,5
Weavers and knitters,5411,17226,19994,,5
Upholsterers,5412,20813,21172,x,5
Footwear and leather working trades,5413,23151,24574,15363,5
Tailors and dressmakers,5414,16015,20822,x,5
"Textiles, garments and related trades n.e.c.",5419,19476,26219,x,5
Pre-press technicians,5421,22028,22670,18559,5
Printers,5422,26313,26322,x,5
Print finishing and binding workers,5423,19396,20966,16505,5
Butchers,5431,18552,18634,x,5
Bakers and flour confectioners,5432,17145,17514,15715,5
Fishmongers and poultry dressers,5433,15591,16878,x,5
Chefs,5434,18314,18510,17900,5
Cooks,5435,15272,15601,15200,5
Catering and bar managers,5436,19743,20616,18209,5
"Glass and ceramics makers, decorators and finishers",5441,18244,20566,15015,5
Furniture makers and other craft woodworkers,5442,19972,20133,x,5
Florists,5443,x,,x,5
Other skilled trades n.e.c.,5449,23402,23404,x,5
Nursery nurses and assistants,6121,14336,14951,14309,6
Childminders and related occupations,6122,16480,,x,6
Playworkers,6123,14729,x,14862,6
Teaching assistants,6125,15884,17063,15751,6
Educational support assistants,6126,15800,16976,15743,6
Veterinary nurses,6131,19125,,19130,6
Pest control officers,6132,19676,19673,,6
Animal care services occupations n.e.c.,6139,17080,17783,16501,6
Nursing auxiliaries and assistants,6141,18823,19638,18651,6
Ambulance staff (excluding paramedics),6142,24596,23729,26010,6
Dental nurses,6143,17774,15970,17796,6
Houseparents and residential wardens,6144,19818,22597,19394,6
Care workers and home carers,6145,15983,17466,15500,6
Senior care workers,6146,18334,21000,17986,6
Care escorts,6147,14820,x,14039,6
"Undertakers, mortuary and crematorium assistants",6148,21988,21571,22707,6
Sports and leisure assistants,6211,16483,16456,16463,6
Travel agents,6212,19621,21446,18920,6
Air travel assistants,6214,22707,28525,20429,6
Rail travel assistants,6215,30951,31295,28410,6
Leisure and travel service occupations n.e.c.,6219,x,x,x,6
Hairdressers and barbers,6221,12616,x,12507,6
Beauticians and related occupations,6222,15888,14920,15888,6
Housekeepers and related occupations,6231,16118,17353,15803,6
Caretakers,6232,19288,19294,18937,6
Cleaning and housekeeping managers and supervisors,6240,17944,x,16806,6
Sales and retail assistants,7111,14708,16029,13638,7
Retail cashiers and check-out operators,7112,14150,14470,13640,7
Telephone salespersons,7113,19660,20464,18410,7
Pharmacy and other dispensing assistants,7114,15031,14753,15059,7
Vehicle and parts salespersons and advisers,7115,19765,19825,x,7
Collector salespersons and credit agents,7121,18821,19573,18240,7
"Debt, rent and other cash collectors",7122,17759,18749,16322,7
Roundspersons and van salespersons,7123,21545,21545,,7
Market and street traders and assistants,7124,x,x,,7
Merchandisers and window dressers,7125,21625,20778,22130,7
Sales related occupations n.e.c.,7129,x,22393,x,7
Sales supervisors,7130,18349,20164,16775,7
Call and contact centre occupations,7211,17051,17245,16885,7
Telephonists,7213,16840,15874,18845,7
Communication operators,7214,28271,29492,27473,7
Market research interviewers,7215,x,x,x,7
Customer service occupations n.e.c.,7219,18788,19173,18572,7
Customer service managers and supervisors,7220,26716,30040,25573,7
"Food, drink and tobacco process operatives",8111,17662,18713,16034,8
Glass and ceramics process operatives,8112,18237,18769,13209,8
Textile process operatives,8113,20574,22220,18580,8
Chemical and related process operatives,8114,24805,25900,17259,8
Rubber process operatives,8115,25714,27061,,8
Plastics process operatives,8116,x,x,17517,8
Metal making and treating process operatives,8117,25487,25479,,8
Electroplaters,8118,21550,21637,,8
Process operatives n.e.c.,8119,23914,25003,15290,8
Paper and wood machine operatives,8121,19445,19728,x,8
Coal mine operatives,8122,25585,25585,,8
Quarry workers and related operatives,8123,x,x,,8
Energy plant operatives,8124,27119,27474,x,8
Metal working machine operatives,8125,21762,22659,15300,8
Water and sewerage plant operatives,8126,29581,29618,x,8
Printing machine assistants,8127,20457,x,16043,8
Plant and machine operatives n.e.c.,8129,22755,23314,14468,8
Assemblers (electrical and electronic products),8131,19401,21179,16979,8
Assemblers (vehicles and metal goods),8132,28498,28983,x,8
Routine inspectors and testers,8133,24021,25137,18649,8
"Weighers, graders and sorters",8134,17583,18967,12841,8
"Tyre, exhaust and windscreen fitters",8135,18955,18908,,8
Sewing machinists,8137,15168,19125,14566,8
Assemblers and routine operatives n.e.c.,8139,19123,21077,15656,8
"Scaffolders, stagers and riggers",8141,x,x,,8
Road construction operatives,8142,25525,25525,,8
Rail construction and maintenance operatives,8143,34652,34651,,8
Construction operatives n.e.c.,8149,22499,22797,17914,8
Large goods vehicle drivers,8211,26151,26189,18805,8
Van drivers,8212,19887,20013,15168,8
Bus and coach drivers,8213,23505,23775,20002,8
Taxi and cab drivers and chauffeurs,8214,19190,19149,x,8
Driving instructors,8215,x,x,,8
Crane drivers,8221,32095,30908,,8
Fork-lift truck drivers,8222,20497,20493,,8
Agricultural machinery drivers,8223,x,x,,8
Mobile machine drivers and operatives n.e.c.,8229,24630,24776,x,8
Train and tram drivers,8231,46795,47034,44622,8
Marine and waterways transport operatives,8232,36393,36513,,8
Air transport operatives,8233,25765,26225,18575,8
Rail transport operatives,8234,38052,38601,36364,8
Other drivers and transport operatives n.e.c.,8239,24584,24761,18977,8
Farm workers,9111,20881,21441,15643,9
Forestry workers,9112,20355,20153,,9
Fishing and other elementary agriculture occupations n.e.c.,9119,16368,17197,14757,9
Elementary construction occupations,9120,21285,21323,18193,9
Industrial cleaning process occupations,9132,18480,18972,18137,9
"Packers, bottlers, canners and fillers",9134,16924,18408,15235,9
Elementary process plant occupations n.e.c.,9139,19207,20105,15504,9
"Postal workers, mail sorters, messengers and couriers",9211,26748,27356,22498,9
Elementary administration occupations n.e.c.,9219,14948,15864,14059,9
Window cleaners,9231,15820,15820,,9
Street cleaners,9232,17400,17400,,9
Cleaners and domestics,9233,14598,15631,13696,9
"Launderers, dry cleaners and pressers",9234,13572,14038,13025,9
Refuse and salvage occupations,9235,19347,19351,18414,9
Vehicle valeters and cleaners,9236,15294,15303,14762,9
Elementary cleaning occupations n.e.c.,9239,17404,18577,13684,9
Security guards and related occupations,9241,21726,21723,21829,9
Parking and civil enforcement occupations,9242,19316,19059,20360,9
School midday and crossing patrol occupations,9244,15645,15798,14573,9
Elementary security occupations n.e.c.,9249,20263,19943,21028,9
Shelf fillers,9251,15781,15976,14905,9
Elementary sales occupations n.e.c.,9259,14809,13526,16267,9
Elementary storage occupations,9260,18861,19210,16487,9
Hospital porters,9271,18065,18111,16266,9
Kitchen and catering assistants,9272,13110,13278,13071,9
Waiters and waitresses,9273,13052,x,12465,9
Bar staff,9274,13180,13442,13017,9
Leisure and theme park attendants,9275,13033,x,11892,9
Other elementary services occupations n.e.c.,9279,14297,15395,11652,9
