occupation,code,earningsa,earningsm,earningsf,hierarchy
Chief executives and senior officials,1115,87475,97911,63174,1
Elected officers and representatives,1116,x,x,x,1
Production managers and directors in manufacturing,1121,42984,44471,36590,1
Production managers and directors in construction,1122,40238,40447,39455,1
Production managers and directors in mining and energy,1123,x,x,,1
Financial managers and directors,1131,58735,65738,45590,1
Marketing and sales directors,1132,71656,76000,61242,1
Purchasing managers and directors,1133,46209,46466,42899,1
Advertising and public relations directors,1134,61304,x,x,1
Human resource managers and directors,1135,45619,51183,41611,1
Information technology and telecommunications directors,1136,57375,57136,x,1
Functional managers and directors n.e.c.,1139,49275,55632,40206,1
Financial institution managers and directors,1150,51013,63651,37812,1
Managers and directors in transport and distribution,1161,35679,35796,35031,1
Managers and directors in storage and warehousing,1162,28839,29621,23466,1
Officers in armed forces,1171,,,,1
Senior police officers,1172,57664,57722,55782,1
"Senior officers in fire, ambulance, prison and related services",1173,45922,46012,45290,1
Health services and public health managers and directors,1181,45847,48468,42495,1
Social services managers and directors,1184,37827,41296,36890,1
Managers and directors in retail and wholesale,1190,25410,28826,20618,1
Managers and proprietors in agriculture and horticulture,1211,26914,26928,25904,1
"Managers and proprietors in forestry, fishing and related services",1213,x,x,,1
Hotel and accommodation managers and proprietors,1221,25289,28397,23039,1
Restaurant and catering establishment managers and proprietors,1223,21218,22927,19761,1
Publicans and managers of licensed premises,1224,26001,25908,x,1
Leisure and sports managers,1225,26857,27263,26326,1
Travel agency managers and proprietors,1226,x,x,x,1
Health care practice managers,1241,30826,x,29912,1
"Residential, day and domiciliary  care managers and proprietors",1242,30640,32864,30180,1
"Property, housing and estate managers",1251,34678,37156,30332,1
Garage managers and proprietors,1252,33623,35594,x,1
Hairdressing and beauty salon managers and proprietors,1253,23486,x,x,1
Shopkeepers and proprietors _ wholesale and retail,1254,x,x,x,1
Waste disposal and environmental services managers,1255,37294,x,x,1
Managers and proprietors in other services n.e.c.,1259,30000,30855,26806,1
Chemical scientists,2111,33589,35035,x,2
Biological scientists and biochemists,2112,37636,39321,36967,2
Physical scientists,2113,42889,44711,37526,2
Social and humanities scientists,2114,27813,27996,21359,2
Natural and social science professionals n.e.c.,2119,35139,36178,33272,2
Civil engineers,2121,36285,36412,32647,2
Mechanical engineers,2122,41003,41733,36169,2
Electrical engineers,2123,42905,43039,32716,2
Electronics engineers,2124,38424,38576,38260,2
Design and development engineers,2126,38736,38805,36158,2
Production and process engineers,2127,36873,36983,x,2
Engineering professionals n.e.c.,2129,39434,39977,32139,2
IT specialist managers,2133,44314,45072,38732,2
IT project and programme managers,2134,48597,49090,47285,2
"IT business analysts, architects and systems designers",2135,40896,41634,36076,2
Programmers and software development professionals,2136,39037,39298,35999,2
Web design and development professionals,2137,30000,30475,25515,2
Information technology and telecommunications professionals n.e.c.,2139,38666,39374,x,2
Conservation professionals,2141,31288,35078,30003,2
Environment professionals,2142,31456,32311,28668,2
Research and development managers,2150,45000,47050,37260,2
Medical practitioners,2211,75342,86860,53822,2
Psychologists,2212,34252,x,35000,2
