year,debt
1950,4789
1955,3009
1960,2755
1965,2568
1970,1970
1971,1722
1972,1477
1973,1412
1974,1326
1975,1168
1976,959
1977,1004
1978,830
1979,878
1980,831
1981,780
1982,753
1983,646
1984,672
1985,624
1986,581
1987,563
1988,543
1989,554
1990,510
1991,473
1992,449
1993,412
1994,382
1995,375
1996,365
1997,316
1998,320
1999,276
2000,305
2001,290
2002,270
2003,265
2004,266
2005,284
2006,248
2007,272
2008,253
2009,235
2010,218
2011,238
2012,217
2013,186
2014,207
2015,175
2016,181
