date,series1,series1a,series1b,series1c,series2,series2a,series2b,series2c,series3,series3a,series3b,series3c
Dec-08,220,25,10.71428571,4.974489796,88,15,6.428571429,2.984693878,175,21,9,4.178571429
Dec-09,193,20,9,4,76,12,5,2,211,16,7,3
Mar-10,194,19,8,4,78,11,5,2,235,17,7,3
Jun-10,196,20,9,4,73,10,4,2,235,16,7,3
Sep-10,204,21,9,4,76,11,5,2,245,18,8,4
Dec-10,203,20,9,4,80,11,5,2,238,17,7,3
Mar-11,194,19,8,4,81,12,5,2,232,17,7,3
Jun-11,194,20,9,4,85,12,5,2,239,17,7,3
Sep-11,183,17,7,3,80,11,5,2,246,17,7,3
Dec-11,184,17,7,3,74,11,5,2,232,16,7,3
Mar-12,177,16,7,3,71,12,5,2,213,15,6,3
Jun-12,173,15,6,3,68,9,4,2,197,15,6,3
Sep-12,175,16,7,3,63,9,4,2,187,15,6,3
Dec-12,180,17,7,3,62,9,4,2,180,16,7,3
Mar-13,190,18,8,4,59,9,4,2,176,15,6,3
Jun-13,202,20,9,4,60,9,4,2,175,15,6,3
Sep-13,217,20,9,4,66,9,4,2,175,17,7,3
Dec-13,214,20,9,4,71,10,4,2,177,17,7,3
Mar-14,225,21,9,4,80,11,5,2,176,16,7,3
Jun-14,241,21,9,4,82,11,5,2,175,16,7,3
Sep-14,265,25,11,5,88,12,5,2,190,19,8,4
Dec-14,278,26,11,5,89,12,5,2,191,20,9,4
Mar-15,292,24,10,5,84,11,5,2,192,20,9,4
Jun-15,294,25,11,5,80,11,5,2,193,19,8,4
Sep-15,289,23,10,5,77,10,4,2,175,17,7,3
Dec-15,308,25,11,5,74,9,4,2,168,16,7,3
Mar-16,303,25,11,5,80,10,4,2,166,16,7,3
Jun-16,312,25,11,5,80,11,5,2,164,16,7,3
Sep-16,293,26,11,5,74,10,4,2,167,,,
Dec-16,275,24,10,5,85,12,5,2,169,,,
Mar-17,272,24,10,5,80,12,5,2,171,,,
Jun-17,258,24,10,5,79,12,5,2,172,,,
Sep-17,273,26,11,5,86,14,6,3,194,22,9,4
Dec-17,276,27,12,5,80,14,6,3,196,21,9,4
Mar-18,261,27,12,5,77,16,7,3,191,21,9,4
Jun-18,242,26,11,5,73,14,6,3,202,21,9,4
Sep-18,231,27,12,5,60,13,6,3,217,24,10,5
Dec-18,216,27,12,5,51,12,5,2,211,23,10,5
