id,parentId,name,size,realsize,percent,level
Argentine,Central_and_South_America,Argentine,25.18667,25.18667,null,4
Aruban,Central_and_South_America,Aruban,1,1,null,4
Bahamian,Central_and_South_America,Bahamian,11.36,11.36,null,4
Barbadian,Central_and_South_America,Barbadian,98.31539,98.31539,null,4
Barbudan,Central_and_South_America,Barbudan,0.92,0.92,null,4
Belizean,Central_and_South_America,Belizean,4.30187,4.30187,null,4
Bolivian,Central_and_South_America,Bolivian,10.93333,10.93333,null,4
Brazilian,Central_and_South_America,Brazilian,297.52912,297.52912,null,4
Chilean,Central_and_South_America,Chilean,32.79227,32.79227,null,4
Colombian,Central_and_South_America,Colombian,86.03823,86.03823,null,4
Costa_Rican,Central_and_South_America,Costa Rican,6,6,null,4
Cuban,Central_and_South_America,Cuban,13.4,13.4,null,4
Dominican,Central_and_South_America,Dominican,36.4,36.4,null,4
Dutch_Antillean,Central_and_South_America,Dutch Antillean,3.27333,3.27333,null,4
Ecuadorian,Central_and_South_America,Ecuadorian,12.93333,12.93333,null,4
Grenadian,Central_and_South_America,Grenadian,48.89334,48.89334,null,4
Guatemalan,Central_and_South_America,Guatemalan,3.6,3.6,null,4
Guyanese,Central_and_South_America,Guyanese,135.54665,135.54665,null,4
Haitian,Central_and_South_America,Haitian,3,3,null,4
Honduran,Central_and_South_America,Honduran,5.09334,5.09334,null,4
Jamaican,Central_and_South_America,Jamaican,1443.61963,1443.61963,null,4
Kittitian,Central_and_South_America,Kittitian,1,1,null,4
Mexican,Central_and_South_America,Mexican,48.63617,48.63617,null,4
Nicaraguan,Central_and_South_America,Nicaraguan,2.8,2.8,null,4
Panamanian,Central_and_South_America,Panamanian,1.72,1.72,null,4
Paraguayan,Central_and_South_America,Paraguayan,3,3,null,4
Peruvian,Central_and_South_America,Peruvian,40.26916,40.26916,null,4
Saint_Lucian,Central_and_South_America,Saint Lucian,84.01332,84.01332,null,4
Saint_Vincentian,Central_and_South_America,Saint Vincentian,34.65333,34.65333,null,4
Salvadoran,Central_and_South_America,Salvadoran,5.76,5.76,null,4
Surinamese,Central_and_South_America,Surinamese,0,0,null,4
Tobagonian,Central_and_South_America,Tobagonian,13.965,13.965,null,4
Trinidadian,Central_and_South_America,Trinidadian,529.98503,529.98503,null,4
Uruguayan,Central_and_South_America,Uruguayan,3.85333,3.85333,null,4
Venezuelan,Central_and_South_America,Venezuelan,41.96412,41.96412,null,4
Australian,Oceania,Australian,1862.52418,1862.52418,null,4
Fijian,Oceania,Fijian,47.77412,47.77412,null,4
Kosrae,Oceania,Kosrae,1,1,null,4
New_Zealander,Oceania,New Zealander,530.68258,530.68258,null,4
Ni_Vanuatu,Oceania,Ni-Vanuatu,1,1,null,4
Norfolk_Islander,Oceania,Norfolk Islander,2,2,null,4
Palauan,Oceania,Palauan,1,1,null,4
Papua_New_Guinean,Oceania,Papua New Guinean,7.8,7.8,null,4
Pohnpeian,Oceania,Pohnpeian,12,12,null,4
Samoan,Oceania,Samoan,2.61333,2.61333,null,4
Trukese,Oceania,Trukese,1,1,null,4
Tuvaluan,Oceania,Tuvaluan,0.757,0.757,null,4
