"Figure 2: Net migration by citizenship, UK, year ending December 2008 to year ending September 2018",,,,,,,,,,,,,,
"UK, 2008 to 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Units:,Thousands,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year Ending ,"British
(Including Overseas Territories)","British
95% CI","British
60% CI","British
30% CI",EU,EU 95% CI,EU 60% CI,EU 30% CI,Non-EU,Non-EU 95% CI,Non-EU 60% CI,Non-EU 30% CI,,
Dec-08,-   87,28,12,6,+   63,43,18,9,+  187,25,11,5,,
,-   70,22,9,4,+   62,34,15,7,+  174,23,10,5,,
,-   44,18,8,4,+   58,25,11,5,+  184,20,9,4,,
,-   34,18,8,4,+   58,26,11,5,+  199,20,9,4,,
,-   33,18,8,4,+   72,26,11,5,+  196,19,8,4,,
Sep-10,-   44,18,8,4,+   81,27,12,5,+  218,19,8,4,,
,-   43,18,8,4,+   77,25,11,5,+  217,19,8,4,,
,-   50,17,7,3,+   77,24,10,5,+  215,19,8,4,,
,-   55,17,7,3,+   79,24,10,5,+  222,20,9,4,,
Sep-11,-   60,17,7,3,+   75,22,9,4,+  228,21,9,4,,
,-   70,18,8,4,+   82,23,10,5,+  204,20,9,4,,
,-   77,18,8,4,+   76,23,10,5,+  185,21,9,4,,
,-   76,19,8,4,+   72,21,9,4,+  172,19,8,4,,
Sep-12,-   72,19,8,4,+   65,21,9,4,+  160,19,8,4,,
,-   63,19,8,4,+   82,21,9,4,+  157,19,8,4,,
,-   65,18,8,4,+   95,22,9,4,+  145,18,8,4,,
,-   63,17,7,3,+  106,24,10,5,+  139,18,8,4,,
Sep-13,-   58,17,7,3,+  130,25,11,5,+  138,19,8,4,,
,-   57,17,7,3,+  123,24,10,5,+  142,19,8,4,,
,-   50,16,7,3,+  130,26,11,5,+  156,20,9,4,,
,-   48,17,7,3,+  138,27,12,5,+  164,20,9,4,,
Sep-14,-   54,20,9,4,+  158,28,12,6,+  188,24,10,5,,
,-   55,19,8,4,+  174,29,12,6,+  194,25,11,5,,
,-   48,18,8,4,+  184,28,12,6,+  200,23,10,5,,
,-   46,18,8,4,+  180,27,12,5,+  202,22,9,4,,
Sep-15,-   40,18,8,4,+  171,26,11,5,+  192,20,9,4,,
,-   40,18,8,4,+  184,27,12,5,+  189,20,9,4,,
,-   43,19,8,4,+  178,28,12,6,+  193,21,9,4,,
,-   49,18,8,4,+  189,30,13,6,+  196,21,9,4,,
Sep-16,-   56,18,8,4,+  165,30,13,6,+  197,,,,,
,-   60,19,8,4,+  133,29,12,6,+  208,,,,,
,-   59,20,9,4,+  123,28,12,6,+  212,,,,,
,-   48,20,9,4,+  103,29,12,6,+  204,,,,,
Sep-17,-   51,20,9,4,+  106,33,14,7,+  222,26,11,5,,
,-   48,21,9,4,+   99,34,15,7,+  234,26,11,5,,
,-   55,20,9,4,+   86,34,15,7,+  235,27,12,5,,
,-   49,23,10,5,+   74,34,15,7,+  248,27,12,5,,
Sep-18,-   35,24,10,5,+   57,36,15,7,+  261,29,12,6,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
