name,time1value,time2value,time3value,time4value,time1rank,time2rank,time3rank,time4rank
George,8,3,2,1,8,3,2,1
Oliver,2,1,1,2,2,1,1,2
Jack,29,11,3,3,17,12,3,3
Thomas,30,19,10,4,18,19,10,4
William,44,21,9,5,21,20,9,5
Alexander,66,43,16,6,23,22,17,6
Harry,13,2,4,7,13,2,4,7
Joshua,50,18,11,8,22,18,12,8
Leo,3,8,13,9,3,8,14,9
James,40,24,17,10,20,21,18,10
Noah,1,4,7,11,1,4,7,12
Henry,34,15,6,12,19,16,6,13
Muhammad,18,6,8,13,16,6,8,14
Jacob,16,10,15,14,15,10,16,15
Arthur,15,5,5,17,14,5,5,16
Charlie,11,9,14,20,12,9,15,17
Oscar,7,12,12,22,7,13,13,18
Alfie,5,14,20,30,5,15,19,19
Archie,4,13,24,32,4,14,21,20
Freddie,9,7,23,35,9,7,20,21
Logan,6,16,37,46,6,17,22,22
Hunter,10,44,76,122,10,23,23,23
