CountryName,CountryId,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
Austria,AT,12576,18159,17308,16202,18967,30094,29874,31147,34433,51402,35494,33789,40594,37524,35696,36022,31069,37983,36988,30008
Belgium,BE,51149,61175,77496,91928,108097,145897,211640,172711,199587,244768,178437,206752,181920,165563,113506,119294,110926,132424,129300,109114
Bulgaria,BG,466,943,1144,395,461,589,923,1113,939,2037,1693,1411,1352,1558,1063,1253,628,690,421,567
Croatia,HR,411,610,636,1035,1149,1166,1538,1103,1044,1839,2127,2182,1710,1719,1785,1946,2385,2288,1323,1061
Cyprus,CY,1557,1959,1971,1507,1535,1891,3748,5169,7414,8181,8141,6925,6450,10991,6803,11590,8187,10663,10295,11426
Czech Republic,CZ,1997,1865,2654,2304,2356,3165,4240,4265,5172,7019,5419,5997,7050,7730,8828,8288,7384,9220,15243,11218
Denmark,DK,22888,26318,23478,25798,30012,47722,62984,57869,65296,87351,57064,81042,84894,78369,74165,70354,55216,69159,66742,58555
Estonia,EE,85,205,269,202,238,403,124,93,66,93,74,138,234,194,242,202,269,347,792,381
Finland,FI,10991,16682,18877,16511,15726,22926,28529,28174,37101,57591,47667,63993,102864,83308,63669,74330,50107,49775,34983,43174
France,FR,142337,203056,228766,221800,239914,350837,414209,516871,738610,990269,719746,866102,958619,947807,960226,998457,860542,968847,985071,1127054
Germany,DE,213817,314788,329668,314242,346946,506213,544932,558746,672595,1111555,815534,919463,940168,995439,738042,821019,692593,898956,792655,746097
Greece,GR,13716,21637,17036,18829,21297,25398,22350,30340,37449,42415,31460,33974,24731,21120,28110,33194,16188,18158,18874,21113
Hungary,HU,2786,4199,4373,5092,4932,7363,7114,8256,8913,10949,7934,9797,10778,14424,14672,8121,5096,6243,5521,6201
Ireland,IE,85263,102634,106626,107849,134765,171950,277942,313504,404254,589135,450047,425983,496359,434924,350769,336013,333468,402841,424636,488688
Italy,IT,113807,135121,133979,133460,149438,171262,179687,181476,207567,250676,243928,256825,235415,246690,225942,245582,176413,183293,161606,165989
Latvia,LV,34,91,96,135,73,126,172,360,1000,1048,548,400,446,602,458,491,269,506,574,446
Lithuania,LT,253,196,147,171,117,167,986,68,140,6,292,464,319,386,372,370,293,236,277,304
Luxembourg,LU,62342,121179,136924,130345,171727,204262,243853,183492,253822,402671,300244,335557,368980,375308,310928,290302,283156,350735,335028,356002
Malta,MT,470,551,515,648,854,2862,566,2839,5888,7415,3676,2727,4904,8367,3980,6898,5865,7367,5097,4815
Netherlands,NL,180175,338418,337390,355667,370032,431374,399578,449368,613682,741527,620304,650868,703993,699659,589462,643225,573779,683146,652648,612335
Poland,PL,2822,4597,5638,6979,8008,9113,9651,9645,11176,18605,15585,14826,14354,16318,19081,20944,16814,20496,19727,18450
Portugal,PT,10486,14237,21132,21519,25804,23439,27624,27187,29923,35074,39055,38316,41532,41445,26053,26662,18573,19410,14675,14563
Romania,RO,362,314,560,712,1062,1591,2168,1811,3134,6260,4693,4377,3605,4024,3455,4331,3822,3944,2487,2582
Slovak Republic,SK,858,534,401,655,872,519,758,706,1239,2493,1522,1912,1682,1586,1507,1241,853,985,1999,2455
