CountryName,CountryId,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
Austria,AT,9794,11432,17279,18088,19051,28025,29079,34193,40832,52188,45597,49892,50891,50706,38601,39559,31743,32966,31666,31844
Belgium,BE,46257,41884,54518,62910,70991,97461,101315,104065,132873,191050,157403,142311,157638,154746,135325,144554,125980,145941,120093,213440
Bulgaria,BG,1046,977,513,504,518,691,1125,1567,1698,484,1513,1746,1673,1909,2575,3185,1660,2186,2734,2494
Croatia,HR,1276,1204,834,1361,1482,1593,1637,1755,2279,603,604,1209,358,654,893,1007,1132,1783,1186,1056
Cyprus,CY,2557,2987,3402,3238,3165,3924,6546,8414,11249,16406,26539,21677,19979,19207,10897,15861,13519,11172,12145,14202
Czech Republic,CZ,1966,2858,3425,2202,2127,2906,4423,5022,5599,6924,5567,4383,5503,4282,3383,2974,2878,3974,4523,5398
Denmark,DK,16248,19935,22821,21973,30995,45225,47720,50294,75956,91325,56188,57511,73167,76754,79281,69477,62349,70610,65843,61342
Estonia,EE,755,505,140,316,244,375,406,431,482,341,383,324,188,188,260,368,333,448,380,408
Finland,FI,5516,5595,6351,7470,12646,20530,22698,25342,30369,51353,47973,67014,104850,79641,49140,68116,47086,46768,20376,26775
France,FR,162134,220937,172448,202122,217676,332596,449159,449739,604239,923573,713520,804193,834301,900427,817326,894098,792059,851907,784851,890009
Germany,DE,261264,272786,262304,308333,366008,549630,595364,650209,813841,1219517,961467,1012183,1044549,1054090,873106,889079,726383,838970,733556,827322
Greece,GR,16972,24670,13869,17651,19105,25120,33660,37506,50133,73756,84142,62047,49014,50280,50376,47158,37625,38612,26138,26049
Hungary,HU,1642,1539,768,1266,996,2617,3222,2881,3910,4811,3266,6013,5667,4084,4838,2366,2893,2987,2781,2723
Ireland,IE,49286,60506,107549,133491,170283,226065,289509,334024,435695,545696,530730,528986,597243,595073,494281,553246,584561,656974,751538,808828
Italy,IT,61517,68032,71106,77648,82222,96511,98499,102442,113021,141726,150032,160294,184720,212549,183565,183280,156512,153901,154371,150162
Latvia,LV,831,645,204,331,267,470,386,424,642,515,404,559,400,576,836,993,786,834,518,527
Lithuania,LT,901,612,118,190,147,311,228,373,525,149,140,416,117,154,195,372,359,446,277,413
Luxembourg,LU,76370,77665,79872,85820,122271,138406,159185,193625,235598,309641,306432,337547,327483,385920,459262,429875,442407,501460,503968,517036
Malta,MT,1201,1048,1164,1372,1569,1138,1851,2515,6869,12254,7823,6635,5654,6099,6489,7112,5955,7923,6038,4608
Netherlands,NL,133241,162239,217858,212300,237961,343437,476079,577735,723242,804102,610832,572367,613802,605466,537891,659738,554201,641652,692492,596735
Poland,PL,3657,4060,4487,3153,3209,5257,6627,7030,9881,8834,4319,5033,6570,6929,9483,11630,8453,12870,11957,15181
Portugal,PT,6129,5783,6754,9745,11402,13894,16665,18694,21447,21203,28564,30684,30158,37219,25709,25841,18390,16590,11749,12493
Romania,RO,946,973,551,441,665,874,1133,1539,1235,794,823,567,439,793,839,1345,1239,1349,684,822
Slovak Republic,SK,848,501,418,169,581,1602,1250,1304,1387,702,2636,2663,2551,2332,2520,2704,3051,2637,2298,3450
Slovenia,SI,928,996,991,956,770,267,469,382,642,175,764,1034,930,1096,1348,1043,2756,4733,2108,2300
Spain,ES,24919,23997,35458,47098,56997,75322,93932,137470,155909,164879,174778,202963,217605,231411,174963,149946,109675,122436,149949,162872
Sweden,SE,39957,43966,30310,28518,34874,49115,52309,58922,73386,68098,67284,77470,84794,90242,83524,87908,84622,82506,87188,73945
Iceland,IS,198,181,513,348,994,2180,4653,6239,7397,7171,3713,3738,2491,3865,5298,4788,5412,5022,1273,1058
Liechtenstein,LI,1704,3161,2052,2249,2285,2563,2999,2658,3632,3643,2339,2925,4234,2751,4068,4373,4278,5213,4839,4775
Norway,NO,10075,14055,16530,21183,28513,32765,56219,69097,82604,118954,86124,100571,101164,107433,101320,106489,103135,102496,111727,109035
Switzerland,CH,221954,271620,231676,241340,272848,283098,316204,258471,446167,421142,326176,421099,395521,361900,376752,382020,342558,361350,336536,365208
Russia,RU,4058,9117,9590,13881,17651,25458,56893,69019,77132,32515,18907,25596,27281,29599,31961,23363,24904,27365,21570,26335
Turkey,TR,2796,2638,3240,2679,2798,4371,6804,7372,8586,10173,7534,6595,7639,8131,7421,9807,10209,14319,10258,15932
Brazil,BR,4054,4745,3317,2763,4432,7837,9004,8010,7986,6573,6598,11505,6360,4546,12102,15149,22656,9310,5790,7605
Canada,CA,33158,31751,42628,39477,48731,68534,82820,98985,112425,165828,128011,146334,153672,147398,150060,185337,171079,189321,190533,196427
Chile,CL,258,412,995,804,1122,1614,1670,2812,4503,4703,8612,10328,4060,5118,7695,8540,8537,7027,6967,7326
Mexico,MX,4359,5265,5748,2619,2873,4931,5857,5024,5753,12623,3845,6430,5973,3454,4656,9650,11607,14081,12820,12061
United States,US,618167,756744,944170,793155,875339,1222097,1487003,1679627,1914970,3336735,2559860,3186466,3655382,3424199,2937665,3121756,3091799,3184385,3346973,3086638
China,CN,4043,8772,7686,8727,7014,10892,13376,15659,27379,17036,11189,28866,40192,47947,67400,71465,82057,86016,87140,83062
Hong Kong,HK,86016,116635,80774,71116,81611,92902,107428,111537,161365,185132,141060,137750,126153,116314,141663,145498,161419,224724,208207,220237
India,IN,7701,8686,8036,7879,11384,19108,23260,29861,15214,20905,12766,14518,13147,11438,15892,16360,21026,24633,31173,29995
Israel,IL,4665,5108,6959,6491,6216,6779,9828,11879,11327,9466,7906,9243,10330,11765,11291,14139,12400,16399,19443,30398
Japan,JP,205461,252917,228798,214437,188577,243603,238524,253886,326138,468105,358999,420123,506832,486660,413801,397040,365897,442933,392400,461412
Malaysia,MY,7166,9656,5670,3665,3919,7865,4213,8482,10823,5344,5866,7245,7095,6678,6971,8857,7911,7626,7274,8520
Saudi Arabia,SA,16891,23716,16304,15830,14176,17620,28870,35458,65272,82197,61632,53863,73705,72986,86596,82052,91286,87464,91455,88318
