occupation,code,earningsa,earningsm,earningsf,earningsannm,earningsannf,jobsm,jobsf,hierarchy
Production managers and directors,112,16.2,17.03,14.96,11500,13376,41,20,1
Functional managers and directors,113,18.67,19.93,18.53,12000,20025,34,60,1
Managers and directors in transport and logistics,116,9.5,9.42,9.41,,,7,,1
Managers and directors in retail and wholesale,119,9.46,10,9.11,12978,12045,14,26,1
Managers and proprietors in hospitality and leisure services,122,9.78,9.63,9.82,11802,,8,11,1
Managers and proprietors in other services,125,11.99,14.81,10.44,,,13,22,1
Information technology and telecommunications professionals,213,19.5,20.88,16.68,17430,,28,15,2
Health professionals,221,26.3,37.19,24.32,26789,25317,36,76,2
Therapy professionals,222,18.66,20.45,18.59,,20612,,38,2
Nursing and midwifery professionals,223,17.85,18.16,17.79,14992,18450,20,297,2
Teaching and educational professionals,231,22.83,24.06,22.78,17029,18970,120,308,2
"Business, research and administrative professionals",242,18.49,18.34,18.6,,22547,28,48,2
"Architects, town planners and surveyors",243,18.26,17.46,20.13,,,8,,2
Welfare professionals,244,17.8,16.92,17.85,17544,19179,14,32,2
"Science, engineering and production technicians",311,10.59,10.63,10.55,13076,12245,13,19,3
Information technology technicians,313,11.85,10.54,13.53,,15530,7,11,3
Health associate professionals,321,14.04,13.05,14.09,14592,13579,,15,3
Welfare and housing associate professionals,323,11.73,11.92,11.69,12625,12485,15,77,3
Protective service occupations,331,19.35,28.92,18.38,7254,20674,13,14,3
"Artistic, literary and media occupations",341,14.44,16.8,13.49,,,8,15,3
Design occupations,342,13.12,14.84,12.83,,13913,,8,3
Sports and fitness occupations,344,11.96,11.75,12.14,,,33,38,3
"Business, finance and related associate professionals",353,14.03,18.27,13.57,,15286,13,60,3
"Sales, marketing and related associate professionals",354,11.51,10.15,11.98,12000,13337,31,81,3
Public services and other associate professionals,356,13.41,13.23,13.45,14007,15201,13,51,3
Administrative occupations: Government and related organisations,411,10.95,10.94,10.94,12992,12564,6,41,4
Administrative occupations: Finance,412,10.87,10.47,10.9,,11456,19,153,4
Administrative occupations: Records,413,9.67,9.31,9.7,10678,10769,15,70,4
Other administrative occupations,415,10.15,10,10.18,9114,10000,71,435,4
Administrative occupations: Office managers and supervisors,416,11.66,10,11.9,11031,14332,4,32,4
Secretarial and related occupations,421,9.3,8.83,9.38,7745,9850,20,288,4
Agricultural and related trades,511,8.59,8.35,9.26,8599,,13,,5
"Metal machining, fitting and instrument making trades",522,9.69,10,8.21,,9463,14,,5
Vehicle trades,523,8.55,8.01,9.16,,,,,5
Electrical and electronic trades,524,11.54,11.59,7.94,,,8,,5
Food preparation and hospitality trades,543,8.32,7.98,8.55,9360,9615,58,62,5
Other skilled trades,544,8,9.98,7.92,,,,5,5
Childcare and related personal services,612,8.96,9.04,8.96,,9640,27,410,6
Caring personal services,614,9.5,9.48,9.5,10015,10315,74,523,6
Leisure and travel services,621,8.77,8.67,8.88,,9447,33,45,6
Hairdressers and related services,622,8,7.83,8,,7855,6,51,6
Housekeeping and related services,623,8.75,8.86,8.63,8268,8939,20,24,6
Cleaning and housekeeping managers and supervisors,624,8.59,8.76,8.57,,,,18,6
Sales assistants and retail cashiers,711,8.06,8.09,8.05,8674,8190,259,689,7
Sales related occupations,712,8.58,8.93,8.45,,,6,12,7
Sales supervisors,713,8.55,8.46,8.71,12135,11223,4,11,7
Customer service occupations,721,8.86,8.59,9.04,10157,10359,44,120,7
Customer service managers and supervisors,722,9.18,8.66,9.51,,12831,4,8,7
Process operatives,811,8.25,8.37,8.1,14606,9586,13,11,8
Plant and machine operatives,812,8.83,8.74,8.8,,10799,,,8
Assemblers and routine operatives,813,8.49,8.7,8.48,,10724,12,15,8
Construction operatives,814,8.75,8.77,8.3,10092,,15,,8
Road transport drivers,821,8.63,8.64,8.5,9937,8360,107,13,8
Mobile machine drivers and operatives,822,9.7,10.36,8.4,26105,,,,8
Elementary agricultural occupations,911,8.08,8.2,7.98,,,10,,9
Elementary construction occupations,912,8,8,7.83,,,8,,9
Elementary process plant occupations,913,7.96,8,7.93,10286,9657,13,16,9
Elementary administration occupations,921,10.92,11.64,9.83,14617,10933,29,29,9
Elementary cleaning occupations,923,8.06,8,8.1,7092,6372,93,360,9
Elementary security occupations,924,8.54,8.7,8.51,,2723,32,104,9
Elementary sales occupations,925,8.47,8.7,8.33,9304,9024,21,21,9
Elementary storage occupations,926,8.5,8.54,8.41,11524,10566,43,25,9
Other elementary services occupations,927,7.83,7.8,7.83,5579,6419,247,463,9
 Production managers and directors in manufacturing,1121,16.39,17.5,15.01,11419,12855,33,19,1
 Financial managers and directors,1131,18.7,23.81,17.9,,16194,13,28,1
 Managers and directors in storage and warehousing,1162,8.99,8.5,9.01,,,,,1
 Managers and directors in retail and wholesale,1190,9.46,10,9.11,12978,12045,14,26,1
 Restaurant and catering establishment managers and proprietors,1223,9.43,9.56,8.58,13109,,,,1
 Leisure and sports managers,1225,10.29,9.26,11.54,,,,,1
 Shopkeepers and proprietors - wholesale and retail,1254,9.81,8.95,10.2,9761,12554,,,1
 Web design and development professionals,2137,13.84,14.22,13.56,,,,,2
 Medical practitioners,2211,40.48,45.8,37.38,,34332,23,32,2
 Psychologists,2212,25.06,24.35,25.92,,28992,,8,2
 Pharmacists,2213,21.84,19.43,22.18,,24377,,9,2
 Medical radiographers,2217,20.05,18.19,20.39,,20792,,8,2
 Podiatrists,2218,18.17,18.17,17.15,,18018,,,2
 Health professionals n.e.c.,2219,18.03,8.7,18.18,,18468,,9,2
 Therapy professionals n.e.c.,2229,21.36,24.46,19.06,28609,22655,,5,2
 Nurses,2231,17.58,18.17,17.55,14893,18266,20,272,2
