occupation,code,earningsa,earningsm,earningsf,earningsannm,earningsannf,jobsm,jobsf,hierarchy
 Chief executives and senior officials,111,41.86,47.08,34.96,91260,63798,71,27,1
 Production managers and directors,112,21.78,22.24,19.96,45232,36002,515,110,1
 Functional managers and directors,113,29.94,33.22,25.7,66916,46144,493,344,1
 Financial institution managers and directors,115,24.78,29.46,20.58,57604,38323,42,32,1
 Managers and directors in transport and logistics,116,14.99,15.27,13.07,33023,26712,157,40,1
 Senior officers in protective services,117,27.16,27.44,23.41,56089,54862,17,,1
 Health and social services managers and directors,118,23.08,26.02,22,48824,39908,23,39,1
 Managers and directors in retail and wholesale,119,12.7,13.84,11.21,30539,21691,185,137,1
 Managers and proprietors in agriculture related services,121,11.86,12.41,9.2,28294,,14,,1
 Managers and proprietors in hospitality and leisure services,122,11.65,12.11,11.04,25192,23201,75,61,1
 Managers and proprietors in health and care services,124,15.93,16.18,15.91,32118,29900,11,57,1
 Managers and proprietors in other services,125,15.59,17.1,13.8,34535,24249,134,95,1
 Natural and social science professionals,211,19.21,19.59,18.24,38641,32050,83,59,2
 Engineering professionals,212,20.51,20.8,18.71,41574,36244,364,43,2
 Information technology and telecommunications professionals,213,22.03,22.51,19.7,43700,36000,563,113,2
 Conservation and environment professionals,214,17.39,17.92,16.04,34169,28531,28,13,2
 Research and development managers ,215,23.82,24.56,21.17,49479,35663,36,19,2
 Health professionals,221,24.41,27.61,22.45,59004,36879,207,243,2
 Therapy professionals,222,18.04,16.85,18.16,30115,26537,26,91,2
 Nursing and midwifery professionals,223,17.33,17.48,17.3,32146,27530,123,804,2
 Teaching and educational professionals,231,22.66,23.49,22.06,38473,31603,520,945,2
 Legal professionals,241,26.2,28.61,24,53898,40466,66,76,2
" Business, research and administrative professionals",242,21.25,22.42,19.41,43941,34470,438,265,2
" Architects, town planners and surveyors",243,19.22,19.42,18.67,38201,33445,133,34,2
 Welfare professionals,244,17.3,15.84,17.9,26353,30283,65,118,2
 Librarians and related professionals,245,13.67,14.38,13.19,,21791,6,17,2
 Quality and regulatory professionals,246,20.32,20.57,19.62,40820,35617,87,51,2
 Media professionals,247,17.93,19.27,17,37704,30157,63,51,2
" Science, engineering and production technicians",311,13.23,13.92,11.72,29112,21143,273,96,3
 Draughtspersons and related architectural technicians,312,14.65,14.86,13.58,30008,26425,40,11,3
 Information technology technicians,313,14.89,15.2,14.27,30787,25997,185,66,3
 Health associate professionals,321,14.55,17.02,13.57,31919,22457,34,52,3
 Welfare and housing associate professionals,323,12.56,12.6,12.55,23346,20586,72,208,3
 Protective service occupations,331,18.57,18.59,18.11,38908,34241,280,112,3
" Artistic, literary and media occupations",341,15.65,16.32,14.63,29790,25270,48,38,3
 Design occupations,342,13.53,13.7,13.11,27912,25051,47,39,3
 Sports and fitness occupations,344,12.22,12.44,11.81,11541,,57,46,3
 Transport associate professionals,351,38.82,38.78,39.08,76626,,12,,3
 Legal associate professionals,352,14.48,15.59,13.7,33078,25107,21,46,3
" Business, finance and related associate professionals",353,16.93,18.94,15.43,37031,27200,270,270,3
" Sales, marketing and related associate professionals",354,17.89,19.65,15.83,41263,29550,629,473,3
 Conservation and environmental associate professionals,355,11.31,11.39,10.89,22043,,6,,3
 Public services and other associate professionals,356,15.33,16.21,14.73,32647,26691,190,242,3
 Administrative occupations: Government and related organisations,411,12.34,13.21,11.69,26784,21165,80,147,4
 Administrative occupations: Finance,412,11.88,12.46,11.73,23723,18947,146,399,4
 Administrative occupations: Records,413,10.69,11.18,10.36,22852,18252,133,214,4
 Other administrative occupations,415,10.64,11.37,10.5,20933,15610,280,877,4
 Administrative occupations: Office managers and supervisors,416,14.68,15.57,14.36,33348,26615,65,151,4
 Secretarial and related occupations,421,10,9.71,10,16868,14904,50,564,4
 Agricultural and related trades,511,9.69,9.7,9.54,19889,,97,9,5
" Metal forming, welding and related trades",521,12,12.02,8.4,26870,17006,67,,5
" Metal machining, fitting and instrument making trades",522,13.8,13.86,9.66,30856,18899,367,14,5
 Vehicle trades,523,12.41,12.42,11.79,27465,,168,,5
 Electrical and electronic trades,524,14.62,14.67,13.66,32200,25779,283,9,5
" Skilled metal, electrical and electronic trades supervisors",525,16.09,16.08,16.26,35989,34669,37,,5
 Construction and building trades,531,12.49,12.5,10.65,26511,,224,,5
 Building finishing trades,532,11.82,11.88,8.72,25142,,40,,5
 Construction and building trades supervisors,533,15.98,16.24,9.55,36761,,38,,5
 Textiles and garments trades,541,10,11.05,8.58,23625,,13,6,5
 Printing trades,542,11.11,11.73,9.31,24548,17648,26,5,5
 Food preparation and hospitality trades,543,9.2,9.37,9,19947,14596,269,148,5
 Other skilled trades,544,10.06,11.03,8.29,23343,14444,26,10,5
 Childcare and related personal services,612,9.09,9.52,9.07,13895,12272,56,679,6
