AREANM,AREACD,value
North East,E12000001,-6.56
North West,E12000002,-9.74
Yorkshire and  The Humber,E12000003,-3.96
East Midlands,E12000004,-4.41
West Midlands,E12000005,-3.16
East,E12000006,-8.08
London,E12000007,-5.2
South East,E12000008,-5.26
South West,E12000009,-4.4
Scotland,S92000003,-3.41
Northern Ireland,N92000002,-5.67
Wales,W92000004,-2.98
