date,series1,series1a,series1b,series1c,series2,series2a,series2b,series2c,series3,series3a,series3b,series3c,adjustment1,adjustment2
Jun-09,183,,,,121,,,,62,,,,239,118
Dec-09,167,,,,109,,,,58,,,,202,93
Mar-10,172,,,,115,,,,58,,,,207,92
Jun-10,176,,,,104,,,,72,,,,211,107
Sep-10,182,,,,101,,,,81,,,,217,116
Dec-10,176,,,,99,,,,77,,,,211,112
Mar-11,169,,,,92,,,,77,,,,216,124
Jun-11,175,,,,95,,,,79,,,,222,127
Sep-11,166,,,,91,,,,75,,,,213,122
Dec-11,174,,,,92,,,,82,,,,218,126
Mar-12,166,,,,90,,,,76,,,,206,116
Jun-12,158,,,,86,,,,72,,,,198,112
Sep-12,149,,,,84,,,,65,,,,189,105
Dec-12,158,,,,75,,,,82,,,,188,113
Mar-13,170,,,,75,,,,95,,,,198,123
Jun-13,183,,,,77,,,,106,,,,211,134
Sep-13,208,,,,78,,,,130,,,,236,158
Dec-13,201,,,,78,,,,123,,,,229,151
Mar-14,213,,,,83,,,,130,,,,243,160
Jun-14,223,,,,85,,,,138,,,,253,168
Sep-14,246,,,,87,,,,158,,,,276,189
Dec-14,264,,,,89,,,,174,,,,294,205
Mar-15,270,,,,86,,,,184,,,,305,219
Jun-15,265,,,,85,,,,180,,,,300,215
Sep-15,256,,,,85,,,,171,,,,291,206
Dec-15,269,,,,86,,,,184,,,,304,218
Mar-16,267,,,,89,,,,178,,,,296,207
Jun-16,284,,,,95,,,,189,,,,,
Sep-16,267,,,,102,,,,165,,,,,
Dec-16,249,,,,116,,,,133,,,,,
Mar-17,245,,,,121,,,,123,,,,,
Jun-17,226,,,,123,,,,103,,,,,
Sep-17,248,,,,142,,,,106,,,,,
Dec-17,243,,,,144,,,,99,,,,,
Mar-18,230,,,,144,,,,85,,,,,
Jun-18,220,,,,146,,,,74,,,,,
Sep-18,202,,,,145,,,,57,,,,,
Dec-18,202,,,,127,,,,75,,,,,
Mar-19,200,,,,141,,,,59,,,,,
