year,debt,divorce
Dec-81,11.303,null
Dec-83,12.128,null
Dec-87,13.647,null
Dec-91,15.564,null
Dec-93,18.835,null
Dec-95,19.786,null
Dec-97,17.168,null
Dec-99,15.247,null
Mar-02,12.771,null
Mar-03,12.39,5.791277
Mar-04,11.609,5.843549
Mar-05,10.778,5.476771
Mar-06,10.863,5.425691
Mar-07,11.182,5.322377
Mar-08,10.04,4.88114
Mar-09,10.432,4.630383
Mar-10,9.544,4.265036
Mar-11,9.711,4.078475
Mar-12,9.593,3.903581
Mar-13,8.757,3.553168
Mar-14,7.554,3.506545
Mar-15,7.177,3.57428
Mar-16,6.529,3.890435
Mar-17,6.057,4.324315
Dec-17,6.1833,4.8092
Mar-18,6.247,4.878063
Dec-18,6.416,5.153064
Mar-19,6.431,5.257081
