AREACD,AREANM,male,female
E06000001,"NHS Airedale, Wharfedale and Craven",22877.41992,987.2742671
E06000002,NHS Ashford,25281.2239,1120.017116
E06000003,NHS Aylesbury Vale,27212.2763,1181.941364
E06000004,NHS Barking & Dagenham,29328.34988,1253.772121
E06000005,NHS Barnet,29893.32305,1259.544617
E06000006,NHS Barnsley,29998.79541,1338.975926
E06000007,NHS Basildon and Brentwood,39766.02616,1750.220579
E06000008,NHS Bassetlaw,25712.31137,1052.994255
E06000009,NHS Bath and North East Somerset,23819.77311,1107.481717
E06000010,NHS Bedfordshire,25308.37985,1127.390851
E06000011,NHS Bexley,38300.8321,1588.304039
E06000012,NHS Birmingham CrossCity,24945.01054,1114.267063
E06000013,NHS Birmingham South and Central,29101.74442,1236.020674
E06000014,NHS Blackburn with Darwen,59808.89708,2655.370702
E06000015,NHS Blackpool,34400.50009,1576.722514
E06000016,NHS Bolton,36201.92571,1691.536421
E06000017,NHS Bracknell and Ascot,58326.93507,2329.67604
E06000018,NHS Bradford City,31870.55485,1469.747223
E06000019,NHS Bradford Districts,49252.74448,1989.758714
E06000020,NHS Brent,34466.37596,1524.402157
E06000021,NHS Brighton & Hove,24366.57522,1123.891859
E06000022,NHS Bristol,75641.28166,3200.698036
E06000023,NHS Bromley,65044.1764,3039.095221
E06000024,NHS Bury,57205.42136,2551.27525
E06000025,NHS Calderdale,58835.21416,2702.318583
E06000026,NHS Cambridgeshire and Peterborough,41089.90459,1789.289009
E06000027,NHS Camden,47124.6272,2123.315358
E06000028,NHS Cannock Chase,65887.17089,3232.103449
E06000029,NHS Canterbury and Coastal,72982.55162,3291.608257
E06000030,"NHS Castle Point, Rayleigh and Rochford",50179.3756,2355.636065
E06000031,NHS Central London (Westminster),40112.10065,1766.902035
E06000032,NHS Central Manchester,57004.51962,2801.038174
E06000033,NHS Chiltern,66961.17642,3273.331243
E06000034,NHS Chorley and South Ribble,68303.78646,3308.713909
E06000035,NHS City and Hackney,54258.40155,2554.805017
E06000036,NHS Coastal West Sussex,87610.16221,4057.288951
E06000037,NHS Corby,82380.29826,3627.211331
E06000038,NHS Coventry and Rugby,80836.25567,4205.738361
E06000039,NHS Crawley,88236.45565,4618.253621
E06000040,NHS Croydon,120284.9391,5235.016105
E06000041,NHS Cumbria,97356.4449,4241.535712
E06000042,NHS Darlington,59571.9556,2678.755011
E06000043,"NHS Dartford, Gravesham and Swanley",98344.95819,4804.08349
E06000044,NHS Doncaster,49810.59691,2400.058452
E06000045,NHS Dorset,53005.48351,2646.716833
E06000046,NHS Dudley,49638.13721,2187.760799
E06000047,"NHS Durham Dales, Easington and Sedgefield",24270.32915,991.991628
E06000049,NHS Ealing,48548.10475,2057.23584
E06000050,NHS East and North Hertfordshire,43631.03017,1891.67962
E06000051,NHS East Lancashire,46962.84167,1946.363805
E06000052,NHS East Leicestershire and Rutland,51854.2574,2097.363212
E06000053,NHS East Riding of Yorkshire,39842.39812,1801.459976
E06000054,NHS East Staffordshire,59677.98504,2588.379866
E06000055,NHS East Surrey,57653.7308,2629.50965
E06000056,"NHS Eastbourne, Hailsham and Seaford",66396.15505,3040.617533
E06000057,NHS Eastern Cheshire,34987.33676,1412.095674
E07000004,NHS Enfield,77126.08272,3422.871892
E07000005,NHS Erewash,117117.1077,4892.224845
